7,0,1.32241
7,1,1.6031
7,2,-6.68875
6,0,-6.17729
6,1,-0.35638
6,2,-11.4891
5,0,-15.7927
5,1,-0.842075
5,2,-0.350624
4,0,-1.83643
4,1,4.66535
4,2,4.46617
3,0,3.37427
3,1,-10.7006
3,2,4.0398
2,0,0.118234
2,1,-5.48499
2,2,9.46041
1,0,0.000508939
1,1,-4.1059
1,2,-0.464842
8,0,5.73465
8,1,4.32803
8,2,-5.71691
9,0,-4.50106
9,1,6.77805
9,2,1.91934
10,0,-2.05973
10,1,2.91539
10,2,-4.05415
11,0,-4.43441
11,1,-6.05256
11,2,-2.64422
12,0,5.9796
12,1,-2.19178
12,2,-5.01678
13,0,7.50895
13,1,5.04605
13,2,-2.5914
14,0,3.85771
14,1,1.84911
14,2,0.000972248
