 PositionAtECAL: Run = 30468 (X,Y) = ( 3.67029 , -0.379298 ) 	 PositionAtTarget: Run = 30468 (X,Y) = ( 3.770213954 , 1.208901706 ) 
 PositionAtECAL: Run = 30469 (X,Y) = ( 3.67029 , -0.441329 ) 	 PositionAtTarget: Run = 30469 (X,Y) = ( 3.770213954 , 1.193641546 ) 
 PositionAtECAL: Run = 30470 (X,Y) = ( 3.82862 , -0.441329 ) 	 PositionAtTarget: Run = 30470 (X,Y) = ( 3.925890565 , 1.146870209 ) 
 PositionAtECAL: Run = 30471 (X,Y) = ( 4.6061 , -0.293017 ) 	 PositionAtTarget: Run = 30471 (X,Y) = ( 3.928540302 , 1.146870209 ) 
 PositionAtECAL: Run = 30472 (X,Y) = ( 3.10896 , -1.37555 ) 	 PositionAtTarget: Run = 30472 (X,Y) = ( 3.928540302 , 1.146870209 ) 
 PositionAtECAL: Run = 30474 (X,Y) = ( -5.83334 , -1.35955 ) 	 PositionAtTarget: Run = 30474 (X,Y) = ( 3.928540302 , 1.146870209 ) 
 PositionAtECAL: Run = 30475 (X,Y) = ( -5.83334 , -1.35955 ) 	 PositionAtTarget: Run = 30475 (X,Y) = ( 3.928540302 , 1.146870209 ) 
 PositionAtECAL: Run = 30476 (X,Y) = ( -7.42042 , -1.35955 ) 	 PositionAtTarget: Run = 30476 (X,Y) = ( 3.803010548 , 1.146870209 ) 
 PositionAtECAL: Run = 30477 (X,Y) = ( -6.72681 , -0.831884 )    PositionAtTarget: Run = 30477 (X,Y) = ( 0.9799255177 , 1.146870209 )
 PositionAtECAL: Run = 30480 (X,Y) = ( -8.07102 , 0.947814 ) 	 PositionAtTarget: Run = 30480 (X,Y) = ( 0.9465895093 , 0.9478142287 
 PositionAtECAL: Run = 30481 (X,Y) = ( -8.07102 , 0.947814 ) 	 PositionAtTarget: Run = 30481 (X,Y) = ( 0.9465895093 , 0.9478142287 
 PositionAtECAL: Run = 30482 (X,Y) = ( -7.1221 , 0.924832 ) 	 PositionAtTarget: Run = 30482 (X,Y) = ( 0.8888292352 , 0.9405528471 
 PositionAtECAL: Run = 30485 (X,Y) = ( -8.183 , 0.924832 ) 	 PositionAtTarget: Run = 30485 (X,Y) = ( 0.8346122974 , 0.9248321007 
 PositionAtECAL: Run = 30486 (X,Y) = ( -8.183 , 0.966555 ) 	 PositionAtTarget: Run = 30486 (X,Y) = ( 0.8346122974 , 0.9656691106 
 PositionAtECAL: Run = 30487 (X,Y) = ( -7.1221 , 0.966555 ) 	 PositionAtTarget: Run = 30487 (X,Y) = ( 0.8346122974 , 0.9665554229 
 PositionAtECAL: Run = 30488 (X,Y) = ( -8.183 , 0.966555 ) 	 PositionAtTarget: Run = 30488 (X,Y) = ( 0.8346122974 , 0.9665554229 
 PositionAtECAL: Run = 30492 (X,Y) = ( -7.06102 , 0.993653 ) 	 PositionAtTarget: Run = 30492 (X,Y) = ( 0.8956927296 , 0.9757356627 
 PositionAtECAL: Run = 30494 (X,Y) = ( -8.12192 , 0.993653 ) 	 PositionAtTarget: Run = 30494 (X,Y) = ( 0.8956927296 , 0.9936533351 
 PositionAtECAL: Run = 30496 (X,Y) = ( -8.12192 , 0.993653 ) 	 PositionAtTarget: Run = 30496 (X,Y) = ( 0.8956927296 , 0.9936533351 
 PositionAtECAL: Run = 30497 (X,Y) = ( -7.06102 , 0.993653 ) 	 PositionAtTarget: Run = 30497 (X,Y) = ( 0.8956927296 , 0.9936533351 
 PositionAtECAL: Run = 30498 (X,Y) = ( -7.06102 , 0.993653 ) 	 PositionAtTarget: Run = 30498 (X,Y) = ( 0.8956927296 , 0.9936533351 
 PositionAtECAL: Run = 30499 (X,Y) = ( -7.06102 , 0.993653 ) 	 PositionAtTarget: Run = 30499 (X,Y) = ( 0.8956927296 , 0.9936533351 
 PositionAtECAL: Run = 30500 (X,Y) = ( -7.06102 , 0.993653 ) 	 PositionAtTarget: Run = 30500 (X,Y) = ( 0.8956927296 , 0.9936533351 
 PositionAtECAL: Run = 30501 (X,Y) = ( -8.12192 , 0.993653 ) 	 PositionAtTarget: Run = 30501 (X,Y) = ( 0.8956927296 , 0.9936533351 
 PositionAtECAL: Run = 30538 (X,Y) = ( -7.06102 , 1.02044 ) 	 PositionAtTarget: Run = 30538 (X,Y) = ( 0.8956927296 , 1.02106414 ) 
 PositionAtECAL: Run = 30540 (X,Y) = ( -5.85174 , 0.979077 ) 	 PositionAtTarget: Run = 30540 (X,Y) = ( 0.9217919362 , 1.013727812 )
 PositionAtECAL: Run = 30541 (X,Y) = ( -6.91263 , 0.979077 ) 	 PositionAtTarget: Run = 30541 (X,Y) = ( 1.044077702 , 0.9790777086 )
 PositionAtECAL: Run = 30542 (X,Y) = ( -6.91263 , 0.979077 ) 	 PositionAtTarget: Run = 30542 (X,Y) = ( 1.044077702 , 0.9790777086 )
 PositionAtECAL: Run = 30543 (X,Y) = ( -0.115959 , -0.145901 )   PositionAtTarget: Run = 30543 (X,Y) = ( 1.044077702 , 0.951623444 )  
 PositionAtECAL: Run = 30544 (X,Y) = ( 0.996528 , -0.570008 )    PositionAtTarget: Run = 30544 (X,Y) = ( 1.233857038 , 0.9434463535 )
 PositionAtECAL: Run = 30545 (X,Y) = ( 1.31581 , -0.145901 ) 	 PositionAtTarget: Run = 30545 (X,Y) = ( 2.46842724 , 0.9434463535 ) 
 PositionAtECAL: Run = 30546 (X,Y) = ( 1.08135 , 0.152757 ) 	 PositionAtTarget: Run = 30546 (X,Y) = ( 2.475849138 , 0.9409011392 )
 PositionAtECAL: Run = 30547 (X,Y) = ( 1.06341 , 0.152757 ) 	 PositionAtTarget: Run = 30547 (X,Y) = ( 2.464039489 , 0.9193907005 )
 PositionAtECAL: Run = 30552 (X,Y) = ( 1.06341 , 1.83008 ) 	 PositionAtTarget: Run = 30552 (X,Y) = ( 2.457913632 , 1.063447204 ) 
 PositionAtECAL: Run = 30553 (X,Y) = ( -0.110995 , 1.72303 ) 	 PositionAtTarget: Run = 30553 (X,Y) = ( 2.457913632 , 1.063447204 ) 
 PositionAtECAL: Run = 30554 (X,Y) = ( 0.916569 , 1.4592 ) 	 PositionAtTarget: Run = 30554 (X,Y) = ( 2.457913632 , 1.063447204 ) 
 PositionAtECAL: Run = 30555 (X,Y) = ( 1.09742 , 1.83008 ) 	 PositionAtTarget: Run = 30555 (X,Y) = ( 2.461193962 , 1.063447204 ) 
 PositionAtECAL: Run = 30556 (X,Y) = ( 1.07073 , 1.83008 ) 	 PositionAtTarget: Run = 30556 (X,Y) = ( 2.480198249 , 1.063447204 ) 
 PositionAtECAL: Run = 30557 (X,Y) = ( 1.06809 , 1.83008 ) 	 PositionAtTarget: Run = 30557 (X,Y) = ( 2.464977608 , 1.063447204 ) 
 PositionAtECAL: Run = 30563 (X,Y) = ( 0.856649 , 0.667697 ) 	 PositionAtTarget: Run = 30563 (X,Y) = ( 2.397993473 , 1.063447204 ) 
 PositionAtECAL: Run = 30564 (X,Y) = ( 0.806654 , 1.06345 ) 	 PositionAtTarget: Run = 30564 (X,Y) = ( 2.397993473 , 1.063447204 ) 
 PositionAtECAL: Run = 30565 (X,Y) = ( 0.856649 , 0.667697 ) 	 PositionAtTarget: Run = 30565 (X,Y) = ( 2.397993473 , 1.063447204 ) 
 PositionAtECAL: Run = 30566 (X,Y) = ( 0.824419 , 1.08683 ) 	 PositionAtTarget: Run = 30566 (X,Y) = ( 2.40158024 , 1.0681673 )    
 PositionAtECAL: Run = 30568 (X,Y) = ( 0.0915893 , -0.190897 )   PositionAtTarget: Run = 30568 (X,Y) = ( 2.415758725 , 1.086825834 )  
 PositionAtECAL: Run = 30571 (X,Y) = ( 1.02126 , 0.320192 ) 	 PositionAtTarget: Run = 30571 (X,Y) = ( 2.415758725 , 1.086825834 ) 
 PositionAtECAL: Run = 30573 (X,Y) = ( 0.0915893 , -0.190897 )   PositionAtTarget: Run = 30573 (X,Y) = ( 2.415758725 , 1.086825834 )  
 PositionAtECAL: Run = 30576 (X,Y) = ( 3.25521 , 1.28627 ) 	 PositionAtTarget: Run = 30576 (X,Y) = ( 1.676414602 , 1.086825834 ) 
 PositionAtECAL: Run = 30577 (X,Y) = ( 3.156 , 0.501015 ) 	 PositionAtTarget: Run = 30577 (X,Y) = ( 1.676414602 , 1.086825834 ) 
 PositionAtECAL: Run = 30578 (X,Y) = ( 2.99842 , 0.156745 ) 	 PositionAtTarget: Run = 30578 (X,Y) = ( 1.708954966 , 1.061811739 ) 
 PositionAtECAL: Run = 30579 (X,Y) = ( 4.06341 , 0.5063 ) 	 PositionAtTarget: Run = 30579 (X,Y) = ( 2.275362846 , 1.092111216 ) 
 PositionAtECAL: Run = 30580 (X,Y) = ( 4.0909 , 0.510703 ) 	 PositionAtTarget: Run = 30580 (X,Y) = ( 2.587874283 , 1.09276008 )  
 PositionAtECAL: Run = 30583 (X,Y) = ( 3.89688 , 0.161148 ) 	 PositionAtTarget: Run = 30583 (X,Y) = ( 2.609457873 , 1.096513558 ) 
 PositionAtECAL: Run = 30584 (X,Y) = ( 4.08905 , 0.510703 ) 	 PositionAtTarget: Run = 30584 (X,Y) = ( 2.609457873 , 1.096513558 ) 
