 RunNumber = 80649 - EBeam = 277.75 - SqrtS = 16.8482
UnixTime,q_LG,err_q_LG,qX_Target,err_qX_Target,qY_Target,err_qY_Target,Fitted_qX_Target,err_Fitted_qX_Target,Fitted_qY_Target,err_Fitted_qY_Target,Ratio_qX_Target_LG,err_Ratio_qX_Target_LG,Ratio_qY_Target_LG,err_Ratio_qY_Target_LG,Ratio_Fitted_qX_Target_LG,err_Ratio_Fitted_qX_Target_LG,Ratio_Fitted_qY_Target_LG,err_Ratio_Fitted_qY_Target_LG,Ratio_qX_Target_LG_EnCorr,err_Ratio_qX_Target_LG_EnCorr,Ratio_qY_Target_LG_EnCorr,err_Ratio_qY_Target_LG_EnCorr,Ratio_Fitted_qX_Target_LG_EnCorr,err_Ratio_Fitted_qX_Target_LG_EnCorr,Ratio_Fitted_qY_Target_LG_EnCorr,err_Ratio_Fitted_qY_Target_LG_EnCorr,X_tar,err_X_Tar,Y_tar,err_Y_Tar,Fitted_X_tar,err_Fitted_X_Tar,Fitted_Y_tar,err_Fitted_Y_Tar,sigmaX_Tar,err_sigmaX_Tar
1761632628,600.8298,4.2242,583.1876,7.5273,156.1093,1.0157,690.9793,8.7868,181.9774,1.1965,0.9706,0.0143,0.2598,0.0025,1.1500,0.0002,0.3029,0.0029,0.9032,0.0133,0.2418,0.0023,1.0701,0.0002,0.2818,0.0027,7.1620,0.0060,3.9450,0.0034,0.8257,0.0067,10.9364,0.0039,0.5519,0.0000
1761632905,682.0452,3.6045,664.1091,8.2701,187.9022,1.2035,786.0653,9.6430,219.7013,1.4087,0.9737,0.0132,0.2755,0.0023,1.1525,0.0002,0.3221,0.0027,0.9060,0.0123,0.2563,0.0021,1.0724,0.0002,0.2997,0.0025,7.1501,0.0057,3.9617,0.0031,0.8390,0.0062,10.9573,0.0035,0.5468,0.0000
1761633169,663.0340,2.6528,647.7473,7.8778,178.4928,1.0356,766.8898,9.1988,208.7354,1.2223,0.9769,0.0125,0.2692,0.0019,1.1566,0.0002,0.3148,0.0022,0.9090,0.0116,0.2505,0.0018,1.0762,0.0002,0.2929,0.0021,7.1558,0.0056,3.9785,0.0032,0.8328,0.0062,10.9761,0.0035,0.5471,0.0000
1761633605,331.9654,47.6876,417.8271,17.0422,120.7231,5.0805,494.6129,19.6852,141.0632,5.8228,1.2586,0.1880,0.3637,0.0544,1.4900,0.0088,0.4249,0.0635,1.1712,0.1749,0.3384,0.0507,1.3864,0.0082,0.3954,0.0591,7.1579,0.0158,3.9410,0.0106,0.8307,0.0176,10.9336,0.0120,0.5452,0.0000
1761633867,725.7034,1.1172,708.0744,8.3790,210.2354,0.7722,837.8915,9.7803,246.8280,0.9176,0.9757,0.0116,0.2897,0.0012,1.1546,0.0002,0.3401,0.0014,0.9079,0.0108,0.2696,0.0011,1.0743,0.0001,0.3165,0.0013,7.1413,0.0055,4.0201,0.0023,0.8484,0.0060,11.0216,0.0025,0.5467,0.0000
1761634107,719.3158,1.2285,703.3428,8.3516,210.7453,0.7357,831.8899,9.7495,247.7176,0.8700,0.9778,0.0117,0.2930,0.0011,1.1565,0.0002,0.3444,0.0013,0.9098,0.0109,0.2726,0.0011,1.0761,0.0001,0.3204,0.0013,7.1374,0.0054,4.0421,0.0021,0.8528,0.0059,11.0450,0.0023,0.5432,0.0000
1761634340,692.5420,0.9465,679.2376,8.0299,199.5542,0.7001,803.0527,9.3641,234.5368,0.8282,0.9808,0.0117,0.2881,0.0011,1.1596,0.0002,0.3387,0.0013,0.9126,0.0109,0.2681,0.0010,1.0790,0.0001,0.3151,0.0012,7.1187,0.0053,4.0416,0.0021,0.8729,0.0058,11.0445,0.0023,0.5441,0.0000
1761634681,662.4348,23.4408,668.5667,10.6854,198.3976,2.3946,790.2135,12.3995,233.2057,2.7839,1.0093,0.0392,0.2995,0.0112,1.1929,0.0007,0.3520,0.0131,0.9391,0.0365,0.2787,0.0104,1.1100,0.0007,0.3276,0.0122,7.0992,0.0066,4.0395,0.0046,0.8937,0.0071,11.0422,0.0050,0.5457,0.0000
