#RunNumber = 80651 - EBeam = 277.75 - SqrtS = 16.8482
#period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax
0,743.977,8.77903,228.439,0.721261,0.83188,0.00555193,-5.05598,0.00190381,0.545961,0
1,739.089,8.73518,227.389,0.671256,0.843402,0.0055322,-5.05299,0.00176646,0.546193,0
2,759.304,9.22267,237.033,1.07412,0.85935,0.00555857,-5.04144,0.00262574,0.546144,0
3,798.159,10.3571,252.153,1.83553,0.862518,0.00579318,-5.03093,0.00407245,0.548614,0
4,896.445,10.541,295.16,0.769307,0.848209,0.00545242,-5.00605,0.00173475,0.546881,0
5,808.951,11.9396,258.792,2.52604,0.845826,0.00633545,-5.03269,0.0057686,0.547002,0
6,502.25,6.21472,140.568,0.71479,0.827216,0.0059583,-5.15242,0.00219917,0.559175,0
7,502.486,6.05222,139.47,0.763391,0.8178,0.0059459,-5.15025,0.00258874,0.559299,0
