#RunNumber = 80677 - EBeam = 270.25 - SqrtS = 16.6191
#period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax
0,733.927,9.5085,155.539,1.29662,0.851852,0.0071961,-2.92846,0.00240601,0.645091,0
1,591.202,14.8989,127.774,3.96389,0.860875,0.0122535,-2.92568,0.00425664,0.643986,0
2,594.849,6.99874,106.125,2.26208,0.861455,0.0066424,-2.93519,0.00465933,0.641361,0
3,560.438,6.47766,100.314,1.28073,0.848647,0.00651266,-2.93154,0.00395413,0.642273,0
4,533.498,6.15547,110.779,1.20371,0.857057,0.0064946,-2.92009,0.00342216,0.640311,0
5,472.328,6.121,98.6369,1.36538,0.860538,0.00719364,-2.91496,0.00380586,0.642443,0
6,522.371,6.45701,115.204,1.44633,0.836074,0.0068398,-2.91106,0.00317342,0.642933,0
7,479.62,5.76132,104.815,1.32066,0.831645,0.00667535,-2.90656,0.00378334,0.63984,0
