 RunNumber = 80415 - EBeam = 283 - SqrtS = 17.0066
UnixTime,q_LG,err_q_LG,qX_Target,err_qX_Target,qY_Target,err_qY_Target,Fitted_qX_Target,err_Fitted_qX_Target,Fitted_qY_Target,err_Fitted_qY_Target,Ratio_qX_Target_LG,err_Ratio_qX_Target_LG,Ratio_qY_Target_LG,err_Ratio_qY_Target_LG,Ratio_Fitted_qX_Target_LG,err_Ratio_Fitted_qX_Target_LG,Ratio_Fitted_qY_Target_LG,err_Ratio_Fitted_qY_Target_LG,Ratio_qX_Target_LG_EnCorr,err_Ratio_qX_Target_LG_EnCorr,Ratio_qY_Target_LG_EnCorr,err_Ratio_qY_Target_LG_EnCorr,Ratio_Fitted_qX_Target_LG_EnCorr,err_Ratio_Fitted_qX_Target_LG_EnCorr,Ratio_Fitted_qY_Target_LG_EnCorr,err_Ratio_Fitted_qY_Target_LG_EnCorr,X_tar,err_X_Tar,Y_tar,err_Y_Tar,Fitted_X_tar,err_Fitted_X_Tar,Fitted_Y_tar,err_Fitted_Y_Tar,sigmaX_Tar,err_sigmaX_Tar
1751286524,769.7305,1.6823,743.2385,9.4347,233.6691,1.0147,871.2143,10.9392,272.8726,1.2021,0.9656,0.0124,0.3036,0.0015,1.1318,0.0002,0.3545,0.0017,0.9154,0.0118,0.2878,0.0014,1.0731,0.0002,0.3361,0.0017,6.9447,0.0041,4.0427,0.0025,1.0602,0.0045,11.0482,0.0029,0.4636,0.0000
1751286728,768.3955,1.4724,737.9331,9.3455,230.4404,0.9892,864.9527,10.8074,268.9966,1.1709,0.9604,0.0123,0.2999,0.0014,1.1257,0.0002,0.3501,0.0017,0.9105,0.0117,0.2843,0.0013,1.0672,0.0002,0.3319,0.0016,6.9399,0.0041,4.0472,0.0025,1.0656,0.0044,11.0536,0.0029,0.4624,0.0000
1751286932,761.8226,1.0957,732.2106,9.2473,228.3163,0.8296,858.3397,10.6941,266.5866,0.9816,0.9611,0.0122,0.2997,0.0012,1.1267,0.0002,0.3499,0.0014,0.9112,0.0116,0.2841,0.0011,1.0682,0.0002,0.3318,0.0013,6.9450,0.0041,4.0482,0.0021,1.0598,0.0044,11.0546,0.0025,0.4642,0.0000
1751287136,756.6365,1.2692,730.0898,9.1871,224.1460,0.7650,856.0705,10.6280,261.5774,0.9065,0.9649,0.0122,0.2962,0.0011,1.1314,0.0002,0.3457,0.0013,0.9148,0.0116,0.2809,0.0011,1.0727,0.0002,0.3278,0.0013,6.9421,0.0041,4.0436,0.0020,1.0629,0.0044,11.0497,0.0023,0.4663,0.0000
1751287340,751.3637,1.4612,718.0563,9.0737,223.3621,0.8283,841.6100,10.4867,260.5511,0.9860,0.9557,0.0122,0.2973,0.0012,1.1201,0.0002,0.3468,0.0015,0.9060,0.0116,0.2818,0.0012,1.0619,0.0002,0.3288,0.0014,6.9471,0.0040,4.0411,0.0022,1.0577,0.0043,11.0471,0.0027,0.4630,0.0000
1751287545,749.2241,1.8176,722.3283,9.2310,220.6527,0.9326,846.8549,10.6823,257.3531,1.1009,0.9641,0.0125,0.2945,0.0014,1.1303,0.0002,0.3435,0.0017,0.9140,0.0119,0.2792,0.0014,1.0716,0.0002,0.3257,0.0016,6.9430,0.0043,4.0405,0.0023,1.0620,0.0046,11.0465,0.0027,0.4652,0.0000
1751287749,743.6926,1.0250,714.7681,8.9741,218.5750,0.8806,838.0588,10.3800,254.8370,1.0503,0.9611,0.0121,0.2939,0.0013,1.1269,0.0002,0.3427,0.0015,0.9112,0.0115,0.2786,0.0012,1.0684,0.0002,0.3249,0.0014,6.9395,0.0041,4.0370,0.0025,1.0658,0.0044,11.0425,0.0030,0.4654,0.0000
1751287953,752.1697,1.2187,721.2252,9.1115,223.6347,0.7910,845.5502,10.5399,261.0270,0.9416,0.9589,0.0122,0.2973,0.0012,1.1241,0.0002,0.3470,0.0014,0.9091,0.0116,0.2819,0.0011,1.0658,0.0002,0.3290,0.0013,6.9422,0.0041,4.0429,0.0022,1.0629,0.0045,11.0488,0.0025,0.4649,0.0000
1751288157,734.0494,1.2915,708.6276,8.8944,212.1287,0.8306,831.0701,10.2926,247.2735,0.9830,0.9654,0.0122,0.2890,0.0012,1.1322,0.0002,0.3369,0.0015,0.9152,0.0116,0.2740,0.0012,1.0734,0.0002,0.3194,0.0014,6.9440,0.0041,4.0396,0.0022,1.0607,0.0044,11.0457,0.0026,0.4686,0.0000
