#RunNumber = 80615 - EBeam = 285.25 - SqrtS = 17.0741
#period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax
0,728.185,9.61505,277.918,1.01108,0.979155,0.00360669,-5.03692,0.00143795,0.443819,0
1,721.645,9.22343,273.469,0.688644,0.971918,0.00367278,-5.03578,0.00134495,0.448214,0
2,743.746,9.58129,284.066,0.757425,0.974796,0.00360602,-5.0355,0.00125216,0.444376,0
3,757.844,9.73675,290.645,0.810921,0.965127,0.00365471,-5.03767,0.00136796,0.443394,0
4,750.075,9.74062,282.144,0.825179,0.952753,0.00368537,-5.03524,0.00132952,1.13576,4.03488
5,748.668,9.84016,283.794,1.05215,0.950968,0.00361279,-5.03819,0.00146003,0.439654,0
6,742.818,10.0429,280.737,1.22231,0.963902,0.00376296,-5.03461,0.00171467,0.438842,0
7,768.984,10.0831,294.728,0.896968,0.972114,0.00357194,-5.03695,0.00139978,0.435268,0
