 RunNumber = 80534 - EBeam = 294.25 - SqrtS = 17.3414
UnixTime,q_LG,err_q_LG,qX_Target,err_qX_Target,qY_Target,err_qY_Target,Fitted_qX_Target,err_Fitted_qX_Target,Fitted_qY_Target,err_Fitted_qY_Target,Ratio_qX_Target_LG,err_Ratio_qX_Target_LG,Ratio_qY_Target_LG,err_Ratio_qY_Target_LG,Ratio_Fitted_qX_Target_LG,err_Ratio_Fitted_qX_Target_LG,Ratio_Fitted_qY_Target_LG,err_Ratio_Fitted_qY_Target_LG,Ratio_qX_Target_LG_EnCorr,err_Ratio_qX_Target_LG_EnCorr,Ratio_qY_Target_LG_EnCorr,err_Ratio_qY_Target_LG_EnCorr,Ratio_Fitted_qX_Target_LG_EnCorr,err_Ratio_Fitted_qX_Target_LG_EnCorr,Ratio_Fitted_qY_Target_LG_EnCorr,err_Ratio_Fitted_qY_Target_LG_EnCorr,X_tar,err_X_Tar,Y_tar,err_Y_Tar,Fitted_X_tar,err_Fitted_X_Tar,Fitted_Y_tar,err_Fitted_Y_Tar,sigmaX_Tar,err_sigmaX_Tar
1759228533,724.7537,1.9916,677.1388,9.3810,234.4728,0.8183,802.2491,11.0313,264.5039,1.5029,0.9343,0.0132,0.3235,0.0014,1.1069,0.0002,0.3650,0.0023,0.9210,0.0130,0.3189,0.0014,1.0912,0.0002,0.3598,0.0023,7.1703,0.0040,4.0542,0.0011,0.7317,0.0049,11.1997,0.0118,0.2906,0.0000
1759228782,718.0532,2.3142,672.1549,9.2982,232.8979,0.9171,807.4556,11.2677,264.4526,1.6707,0.9361,0.0133,0.3243,0.0017,1.1245,0.0002,0.3683,0.0026,0.9228,0.0131,0.3197,0.0016,1.1085,0.0002,0.3630,0.0026,7.1827,0.0041,4.0524,0.0011,0.7055,0.0052,11.2175,0.0097,0.2887,0.0000
1759229029,731.7974,1.5049,690.9451,9.3789,237.6583,0.7871,829.9078,11.3172,269.9392,1.8792,0.9442,0.0130,0.3248,0.0013,1.1341,0.0002,0.3689,0.0027,0.9307,0.0128,0.3201,0.0012,1.1179,0.0002,0.3636,0.0026,7.1933,0.0042,4.0569,0.0010,0.7024,0.0047,11.2131,0.0137,0.2887,0.0000
1759229281,748.5562,2.2156,703.9088,9.6482,244.5341,0.9217,851.5334,11.7861,283.9324,4.3085,0.9404,0.0132,0.3267,0.0016,1.1376,0.0002,0.3793,0.0059,0.9270,0.0130,0.3220,0.0015,1.1214,0.0002,0.3739,0.0058,7.1903,0.0042,4.0654,0.0011,0.6941,0.0046,11.2468,0.0224,0.2887,0.0000
1759229624,470.8413,40.2773,492.5410,15.6253,181.3409,5.2729,590.4479,18.4632,198.9813,5.6528,1.0461,0.0954,0.3851,0.0348,1.2540,0.0036,0.4226,0.0381,1.0312,0.0941,0.3797,0.0343,1.2362,0.0035,0.4166,0.0376,7.1808,0.0085,4.0127,0.0032,0.7090,0.0080,11.0343,0.0087,0.2887,0.0000
1759229862,674.3495,1.9118,623.6764,8.6079,220.4629,0.9701,754.6956,10.7524,241.2906,1.0563,0.9249,0.0130,0.3269,0.0017,1.1191,0.0002,0.3578,0.0019,0.9117,0.0128,0.3223,0.0017,1.1032,0.0002,0.3527,0.0018,7.1825,0.0041,4.0327,0.0009,0.6962,0.0059,11.1210,0.0084,0.2887,0.0000
1759230117,689.9177,1.0834,639.7340,8.7437,225.9463,0.6841,774.6188,10.8379,248.8785,0.8993,0.9273,0.0128,0.3275,0.0011,1.1228,0.0002,0.3607,0.0014,0.9141,0.0126,0.3228,0.0011,1.1068,0.0002,0.3556,0.0014,7.1804,0.0040,4.0364,0.0007,0.6961,0.0053,11.1609,0.0091,0.2887,0.0000
1759230361,684.2368,1.4861,640.2965,8.7207,224.7775,0.8238,774.7374,10.8960,246.5280,0.9223,0.9358,0.0129,0.3285,0.0014,1.1323,0.0002,0.3603,0.0016,0.9225,0.0127,0.3238,0.0014,1.1161,0.0002,0.3552,0.0015,7.1898,0.0042,4.0348,0.0010,0.6940,0.0059,11.1306,0.0099,0.2887,0.0000
