 RunNumber = 80459 - EBeam = 271 - SqrtS = 16.6422
UnixTime,q_LG,err_q_LG,qX_Target,err_qX_Target,qY_Target,err_qY_Target,Fitted_qX_Target,err_Fitted_qX_Target,Fitted_qY_Target,err_Fitted_qY_Target,Ratio_qX_Target_LG,err_Ratio_qX_Target_LG,Ratio_qY_Target_LG,err_Ratio_qY_Target_LG,Ratio_Fitted_qX_Target_LG,err_Ratio_Fitted_qX_Target_LG,Ratio_Fitted_qY_Target_LG,err_Ratio_Fitted_qY_Target_LG,Ratio_qX_Target_LG_EnCorr,err_Ratio_qX_Target_LG_EnCorr,Ratio_qY_Target_LG_EnCorr,err_Ratio_qY_Target_LG_EnCorr,Ratio_Fitted_qX_Target_LG_EnCorr,err_Ratio_Fitted_qX_Target_LG_EnCorr,Ratio_Fitted_qY_Target_LG_EnCorr,err_Ratio_Fitted_qY_Target_LG_EnCorr,X_tar,err_X_Tar,Y_tar,err_Y_Tar,Fitted_X_tar,err_Fitted_X_Tar,Fitted_Y_tar,err_Fitted_Y_Tar,sigmaX_Tar,err_sigmaX_Tar
1752694874,647.3527,3.7369,588.5105,7.1125,153.8898,1.1156,703.7869,8.3246,181.2885,1.3161,0.9091,0.0122,0.2377,0.0022,1.0872,0.0002,0.2800,0.0026,0.8254,0.0111,0.2158,0.0020,0.9870,0.0002,0.2542,0.0024,6.9936,0.0066,3.8827,0.0041,1.0074,0.0076,10.8751,0.0044,0.6407,0.0000
1752695078,735.0433,1.6713,675.5242,7.6969,175.5484,0.9139,808.0227,9.0248,207.4373,1.0831,0.9190,0.0107,0.2388,0.0014,1.0993,0.0001,0.2822,0.0016,0.8344,0.0097,0.2168,0.0012,0.9980,0.0001,0.2562,0.0015,6.9898,0.0063,3.9664,0.0031,1.0117,0.0073,10.9640,0.0033,0.6419,0.0000
1752695282,756.3036,2.1067,692.8354,7.9285,183.6798,0.9538,828.4313,9.2866,217.2070,1.1313,0.9161,0.0108,0.2429,0.0014,1.0954,0.0001,0.2872,0.0017,0.8317,0.0098,0.2205,0.0013,0.9945,0.0001,0.2607,0.0015,6.9905,0.0063,3.9799,0.0031,1.0109,0.0072,10.9783,0.0033,0.6399,0.0000
1752695487,760.9522,2.5310,696.3083,8.0456,174.0028,2.3825,832.7332,9.4523,205.7989,2.7887,0.9150,0.0110,0.2287,0.0032,1.0943,0.0001,0.2704,0.0038,0.8307,0.0100,0.2076,0.0029,0.9935,0.0001,0.2455,0.0034,6.9725,0.0065,3.9990,0.0069,1.0316,0.0074,10.9989,0.0074,0.6403,0.0000
1752695691,753.6394,1.8282,684.0203,7.9119,147.8938,6.2551,818.3539,9.3311,174.7338,7.4400,0.9076,0.0107,0.1962,0.0083,1.0859,0.0001,0.2319,0.0099,0.8240,0.0097,0.1782,0.0075,0.9858,0.0001,0.2105,0.0090,6.9552,0.0066,3.8978,0.0243,1.0516,0.0076,10.8907,0.0265,0.6411,0.0000
1752695895,651.2662,6.6595,599.8206,7.9160,219.8722,2.2002,718.0273,9.2140,260.4130,2.6001,0.9210,0.0154,0.3376,0.0048,1.1025,0.0002,0.3999,0.0057,0.8362,0.0140,0.3065,0.0044,1.0009,0.0002,0.3630,0.0052,7.0047,0.0070,3.6863,0.0044,0.9945,0.0081,10.6662,0.0040,0.6463,0.0000
1752696099,668.9201,4.0119,615.5565,7.3785,219.5136,1.1513,736.7517,8.6302,259.7356,1.3534,0.9202,0.0123,0.3282,0.0026,1.1014,0.0002,0.3883,0.0031,0.8354,0.0112,0.2979,0.0024,0.9999,0.0002,0.3525,0.0028,7.0047,0.0066,3.7027,0.0022,0.9945,0.0076,10.6818,0.0021,0.6454,0.0000
1752696303,718.3991,1.6979,666.8441,7.5983,242.9008,0.9458,798.2977,8.9247,287.3079,1.1169,0.9282,0.0108,0.3381,0.0015,1.1112,0.0001,0.3999,0.0018,0.8427,0.0098,0.3070,0.0014,1.0088,0.0001,0.3631,0.0017,7.0077,0.0064,3.7058,0.0019,0.9911,0.0074,10.6861,0.0018,0.6465,0.0000
1752696507,731.9873,2.3417,676.6424,7.6929,246.9770,1.0929,809.9679,9.0165,292.1194,1.2877,0.9244,0.0109,0.3374,0.0018,1.1065,0.0001,0.3991,0.0022,0.8392,0.0099,0.3063,0.0017,1.0046,0.0001,0.3623,0.0020,6.9983,0.0063,3.7060,0.0020,1.0020,0.0073,10.6866,0.0019,0.6461,0.0000
