#RunNumber = 80427 - EBeam = 281.5 - SqrtS = 16.9615
#period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax
0,597.854,13.6466,202.962,4.32472,1.0869,0.00706092,-5.03316,0.00446918,0.48085,0
1,660.48,8.19416,220.99,0.808758,1.09485,0.00459237,-5.03817,0.00200909,0.482599,0
2,651.496,8.07077,213.071,0.794988,1.07265,0.00458978,-5.04373,0.00209941,0.486398,0
3,644.69,7.98274,209.888,0.843595,1.07918,0.0046064,-5.04516,0.00210392,0.489339,0
4,638.247,7.87885,209.654,0.748181,1.08111,0.00460556,-5.04966,0.0019307,0.488245,0
5,637.943,7.873,206.255,0.712683,1.06414,0.00453124,-5.05444,0.00191532,0.489161,0
6,637.137,7.87092,205.656,0.781818,1.05991,0.00454444,-5.04868,0.00225119,0.814626,2.8895
7,628.327,7.79684,199.613,0.78043,1.06982,0.00459534,-5.04693,0.00207973,0.489573,0
8,607.941,7.61479,195.657,0.963281,1.06973,0.00464634,-5.05101,0.00234835,0.487733,0
