 RunNumber = 80427 - EBeam = 281.5 - SqrtS = 16.9615
UnixTime,q_LG,err_q_LG,qX_Target,err_qX_Target,qY_Target,err_qY_Target,Fitted_qX_Target,err_Fitted_qX_Target,Fitted_qY_Target,err_Fitted_qY_Target,Ratio_qX_Target_LG,err_Ratio_qX_Target_LG,Ratio_qY_Target_LG,err_Ratio_qY_Target_LG,Ratio_Fitted_qX_Target_LG,err_Ratio_Fitted_qX_Target_LG,Ratio_Fitted_qY_Target_LG,err_Ratio_Fitted_qY_Target_LG,Ratio_qX_Target_LG_EnCorr,err_Ratio_qX_Target_LG_EnCorr,Ratio_qY_Target_LG_EnCorr,err_Ratio_qY_Target_LG_EnCorr,Ratio_Fitted_qX_Target_LG_EnCorr,err_Ratio_Fitted_qX_Target_LG_EnCorr,Ratio_Fitted_qY_Target_LG_EnCorr,err_Ratio_Fitted_qY_Target_LG_EnCorr,X_tar,err_X_Tar,Y_tar,err_Y_Tar,Fitted_X_tar,err_Fitted_X_Tar,Fitted_Y_tar,err_Fitted_Y_Tar,sigmaX_Tar,err_sigmaX_Tar
1751530197,602.5475,37.7405,597.8539,13.6466,202.9622,4.3247,702.3525,15.7884,236.0986,4.9146,0.9922,0.0661,0.3368,0.0223,1.1656,0.0017,0.3918,0.0259,0.9357,0.0624,0.3177,0.0210,1.0993,0.0016,0.3695,0.0244,6.9131,0.0071,3.9668,0.0045,1.0934,0.0074,10.9608,0.0052,0.4808,0.0000
1751530401,712.7352,0.9609,660.4801,8.1942,220.9903,0.8088,776.1804,9.5202,257.1597,0.9620,0.9267,0.0116,0.3101,0.0012,1.0890,0.0002,0.3608,0.0014,0.8739,0.0109,0.2924,0.0011,1.0270,0.0002,0.3403,0.0014,6.9051,0.0046,3.9618,0.0020,1.1018,0.0048,10.9551,0.0023,0.4826,0.0000
1751530605,697.1732,0.7850,651.4964,8.0708,213.0708,0.7950,765.5483,9.3739,247.6721,0.9503,0.9345,0.0116,0.3056,0.0012,1.0981,0.0002,0.3553,0.0014,0.8813,0.0110,0.2882,0.0011,1.0355,0.0002,0.3350,0.0013,6.9274,0.0046,3.9563,0.0021,1.0779,0.0049,10.9478,0.0024,0.4864,0.0000
1751530809,689.8993,0.9747,644.6899,7.9827,209.8877,0.8436,757.8459,9.2738,243.9059,1.0015,0.9345,0.0116,0.3042,0.0013,1.0985,0.0002,0.3535,0.0015,0.8813,0.0110,0.2869,0.0012,1.0359,0.0002,0.3334,0.0014,6.9208,0.0046,3.9548,0.0021,1.0847,0.0049,10.9458,0.0024,0.4893,0.0000
1751531013,684.3452,0.8707,638.2469,7.8789,209.6536,0.7482,750.2172,9.1541,243.6049,0.8917,0.9326,0.0116,0.3064,0.0012,1.0963,0.0002,0.3560,0.0014,0.8795,0.0109,0.2889,0.0011,1.0338,0.0002,0.3357,0.0013,6.9189,0.0046,3.9503,0.0019,1.0869,0.0049,10.9403,0.0022,0.4882,0.0000
1751531216,680.9429,0.7811,637.9427,7.8730,206.2551,0.7127,749.7202,9.1417,239.4553,0.8534,0.9369,0.0116,0.3029,0.0011,1.1010,0.0002,0.3517,0.0013,0.8835,0.0110,0.2856,0.0010,1.0383,0.0002,0.3316,0.0012,6.9359,0.0045,3.9456,0.0019,1.0687,0.0048,10.9337,0.0022,0.4892,0.0000
1751531420,680.4529,0.6379,637.1366,7.8709,205.6564,0.7818,425.0521,1112.4773,238.7252,0.9444,0.9363,0.0116,0.3022,0.0012,0.6247,4.2790,0.3508,0.0014,0.8830,0.0109,0.2850,0.0011,0.5891,4.0353,0.3309,0.0013,6.9401,0.0045,3.9513,0.0023,1.1999,11.3192,10.9407,0.0026,0.8146,2.8895
1751531625,670.0071,1.5067,628.3271,7.7968,199.6130,0.7804,738.5081,9.0555,231.5283,0.9306,0.9378,0.0118,0.2979,0.0013,1.1022,0.0002,0.3456,0.0016,0.8844,0.0112,0.2810,0.0013,1.0395,0.0002,0.3259,0.0015,6.9302,0.0046,3.9531,0.0021,1.0748,0.0049,10.9423,0.0024,0.4896,0.0000
1751531829,651.3120,1.8345,607.9410,7.6148,195.6568,0.9633,714.4289,8.8443,226.9606,1.1360,0.9334,0.0120,0.3004,0.0017,1.0969,0.0002,0.3485,0.0020,0.8803,0.0113,0.2833,0.0016,1.0344,0.0002,0.3286,0.0019,6.9303,0.0046,3.9490,0.0023,1.0747,0.0049,10.9373,0.0027,0.4877,0.0000
