#RunNumber = 80415 - EBeam = 283 - SqrtS = 17.0066
#period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax
0,743.239,9.43467,233.669,1.01466,1.0553,0.00411457,-4.95734,0.00251922,0.463648,0
1,737.933,9.3455,230.44,0.989169,1.06013,0.00412793,-4.95281,0.00247212,0.462435,0
2,732.211,9.24729,228.316,0.829564,1.05495,0.00411778,-4.95177,0.00209069,0.464243,0
3,730.09,9.18707,224.146,0.764965,1.0579,0.00411749,-4.95636,0.00196057,0.466258,0
4,718.056,9.07374,223.362,0.828323,1.05291,0.00402047,-4.95886,0.00224348,0.462988,0
5,722.328,9.23099,220.653,0.93263,1.05702,0.00427453,-4.95945,0.00229078,0.465161,0
6,714.768,8.97407,218.575,0.880606,1.06047,0.00408469,-4.96305,0.00247657,0.46536,0
7,721.225,9.11155,223.635,0.790972,1.0578,0.00414355,-4.95706,0.00215474,0.46485,0
8,708.628,8.89438,212.129,0.830566,1.05601,0.00413986,-4.9604,0.00219739,0.468611,0
