#RunNumber = 80344 - EBeam = 293.5 - SqrtS = 17.3193
#period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax
0,734.345,9.54621,256.46,0.839962,0.75107,0.00513911,-4.97614,0.000504735,0.374798,0
1,720.791,9.26716,252.035,0.799012,0.753786,0.00507938,-4.97646,0.000517331,0.734723,2.83906
2,717.892,9.27391,253.355,0.872035,0.747821,0.00520668,-4.97557,0.000574475,0.376307,0
3,719.335,9.24879,256.454,0.77612,0.748841,0.00516039,-4.97698,0.000451203,0.373285,0
4,722.498,9.27761,255.859,0.785521,0.751327,0.00510581,-4.97566,0.000492741,0.373671,0
5,710.469,9.14146,246.838,0.918017,0.752563,0.00510825,-4.97723,0.000496713,0.378933,0
6,697.573,9.03069,243.207,0.932769,0.755126,0.00513969,-4.97652,0.00052329,0.385941,0
7,702.606,9.17123,245.106,1.0603,0.754251,0.00516491,-4.97732,0.000480898,0.382722,0
8,697.558,8.97226,241.94,0.691526,0.753247,0.00511867,-4.97688,0.000527386,0.383019,0
