#RunNumber = 80415 - EBeam = 283 - SqrtS = 17.0066
#period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax
0,743.275,9.43264,233.689,1.00463,1.05529,0.00411188,-4.95738,0.00249646,0.463672,0
1,737.907,9.34377,230.427,0.981588,1.06014,0.00412055,-4.95279,0.00243203,0.462414,0
2,732.195,9.25005,228.323,0.8297,1.05495,0.0041269,-4.95177,0.0020919,0.464234,0
3,730.095,9.18846,224.135,0.760202,1.0579,0.00412333,-4.95636,0.00196591,0.466277,0
4,718.026,9.07603,223.382,0.841021,1.05294,0.0040269,-4.9589,0.00225936,0.462963,0
5,722.344,9.23001,220.658,0.946565,1.05699,0.00427449,-4.95948,0.00231992,0.465175,0
6,714.788,8.973,218.546,0.879297,1.06045,0.00408367,-4.96298,0.00246968,0.465361,0
7,721.195,9.11106,223.634,0.78982,1.05781,0.00414515,-4.95708,0.00216352,0.464845,0
8,708.659,8.89697,212.126,0.821492,1.05601,0.00414616,-4.96037,0.00216854,0.46862,0
9,705.836,8.88346,211.202,0.792328,1.05968,0.00428611,-4.9647,0.00239897,0.470008,0
10,680.647,8.69587,202.137,0.963501,1.0544,0.00422155,-4.97956,0.00246,0.468152,0
11,704.709,8.89881,214.154,0.850881,1.05433,0.00419258,-4.96905,0.00230691,0.465516,0
12,708.148,8.92349,215.787,0.831534,1.05909,0.00412891,-4.96845,0.00227432,0.465508,0
13,705.691,8.93718,215.806,0.87315,1.05495,0.00408778,-4.96089,0.00220302,0.463766,0
14,704.67,8.88298,214.514,0.792598,1.05689,0.0041799,-4.95932,0.0021616,0.464522,0
15,694.125,8.80638,209.309,0.901709,1.05338,0.00414984,-4.96983,0.00235263,0.465112,0
16,696.552,8.81282,212.736,0.90633,1.0559,0.00412745,-4.96732,0.00235587,0.464744,0
17,650.257,8.64928,190.18,1.35428,1.05957,0.00429036,-4.99414,0.00355861,0.467567,0
18,633.572,8.10072,178.457,0.877414,1.0544,0.00443371,-5.00606,0.00265527,0.47297,0
19,645.59,8.13413,184.984,0.903848,1.05384,0.00423479,-5.00007,0.00260029,0.471206,0
20,642.457,8.1191,185.841,0.874079,1.0568,0.00417995,-4.98807,0.00260695,0.466949,0
21,659.195,8.34433,195.143,0.861162,1.06024,0.0042332,-4.98729,0.00252794,0.46589,0
22,668.027,8.44741,201.01,0.883178,1.06034,0.00414551,-4.97807,0.00253029,0.463298,0
23,677.581,8.5788,205.34,0.788388,1.06112,0.00419909,-4.9771,0.00220336,0.463637,0
24,672.064,8.54325,205.833,0.760558,1.0647,0.00417916,-4.98699,0.00218768,0.46172,0
25,681.251,8.66482,206.967,0.828029,1.05956,0.00428001,-4.98145,0.00239286,0.464256,0
26,672.748,8.60948,203.808,0.936091,1.05972,0.00418475,-4.98331,0.00257497,0.464221,0
27,687.553,8.66007,207.61,0.7805,1.05083,0.00410309,-4.97336,0.00208766,0.465316,0
28,677.492,8.56714,199.624,0.931652,1.05309,0.00415897,-4.98123,0.0025919,0.467664,0
29,669.639,8.46706,199.037,0.998042,1.06057,0.00423202,-4.98894,0.00274571,0.467976,0
30,678.928,8.57376,202.94,0.742642,1.0577,0.00417898,-4.98827,0.00206211,0.464852,0
31,667.98,8.48647,202.788,0.710609,1.06474,0.00424621,-4.99178,0.00211383,0.462952,0
32,424.074,25.0863,123.555,7.76281,1.04929,0.0140886,-4.98818,0.0100805,0.47403,0
33,538.99,18.8653,157.582,5.89168,1.06412,0.00896187,-4.99764,0.00703606,0.469952,0
34,651.514,8.31123,193.314,0.921841,1.06808,0.00430124,-5.01057,0.00245135,0.46766,0
35,643.653,8.41866,187.801,1.17983,1.06076,0.00428866,-5.00762,0.00311112,0.467224,0
36,644.511,8.56819,191.149,1.26768,1.05805,0.00433757,-5.01149,0.00312164,0.465997,0
37,616.369,8.18248,177.983,1.20148,1.06555,0.00442135,-5.01304,0.00318181,0.466452,0
38,645.234,8.41371,186.828,1.15654,1.06787,0.0043583,-5.00008,0.00293689,0.469406,0
39,613.013,7.91229,175.369,1.02539,1.06378,0.00436457,-5.01975,0.00291271,0.469254,0
40,601.763,7.62513,171.848,0.800564,1.06591,0.00426738,-5.02123,0.00261833,0.465378,0
41,421.169,21.677,125.245,6.18692,1.06312,0.0128447,-5.03229,0.00632398,0.468776,0
42,631.515,8.07644,177.65,1.12887,1.0691,0.00458909,-5.0145,0.00288383,0.479942,0
43,646.08,8.12279,185.042,0.859893,1.07214,0.00447103,-5.013,0.00260937,0.477957,0
44,637.68,8.04506,180.974,0.846559,1.06908,0.00451357,-5.00788,0.00251873,0.477404,0
