#RunNumber = 80459 - EBeam = 271 - SqrtS = 16.6422
#period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax
0,588.51,7.11254,153.89,1.1156,1.00645,0.00662484,-5.11727,0.00413187,0.640728,0
1,675.524,7.69691,175.548,0.913889,1.0102,0.00631719,-5.03358,0.00307219,0.641929,0
2,692.835,7.92854,183.68,0.953821,1.00946,0.00629743,-5.02012,0.0030964,0.639932,0
3,696.308,8.04564,174.003,2.38248,1.0275,0.00645825,-5.00098,0.0068702,0.640254,0
4,684.02,7.91192,147.894,6.25513,1.04481,0.00658275,-5.10217,0.0243249,0.641131,0
5,599.821,7.91596,219.872,2.20022,0.995264,0.00704326,-5.31368,0.00436844,0.646263,0
6,615.557,7.37849,219.514,1.15128,0.99526,0.00657286,-5.2973,0.00218683,0.645437,0
7,666.844,7.59826,242.901,0.945814,0.992305,0.00640096,-5.29423,0.00186622,0.646497,0
8,676.642,7.69288,246.977,1.09286,1.00171,0.00630983,-5.29398,0.00195986,0.646129,0
