 RunNumber = 80344 - EBeam = 293.5 - SqrtS = 17.3193
UnixTime,q_LG,err_q_LG,qX_Target,err_qX_Target,qY_Target,err_qY_Target,Fitted_qX_Target,err_Fitted_qX_Target,Fitted_qY_Target,err_Fitted_qY_Target,Ratio_qX_Target_LG,err_Ratio_qX_Target_LG,Ratio_qY_Target_LG,err_Ratio_qY_Target_LG,Ratio_Fitted_qX_Target_LG,err_Ratio_Fitted_qX_Target_LG,Ratio_Fitted_qY_Target_LG,err_Ratio_Fitted_qY_Target_LG,Ratio_qX_Target_LG_EnCorr,err_Ratio_qX_Target_LG_EnCorr,Ratio_qY_Target_LG_EnCorr,err_Ratio_qY_Target_LG_EnCorr,Ratio_Fitted_qX_Target_LG_EnCorr,err_Ratio_Fitted_qX_Target_LG_EnCorr,Ratio_Fitted_qY_Target_LG_EnCorr,err_Ratio_Fitted_qY_Target_LG_EnCorr,X_tar,err_X_Tar,Y_tar,err_Y_Tar,Fitted_X_tar,err_Fitted_X_Tar,Fitted_Y_tar,err_Fitted_Y_Tar,sigmaX_Tar,err_sigmaX_Tar
1750091156,714.6400,1.3164,734.3454,9.5462,256.4600,0.8400,868.6526,11.2914,280.9581,2.5848,1.0276,0.0135,0.3589,0.0013,1.2155,0.0002,0.3931,0.0037,1.0104,0.0133,0.3529,0.0013,1.1952,0.0002,0.3866,0.0036,7.2489,0.0051,4.0239,0.0005,0.7116,0.0044,11.1882,0.0234,0.3748,0.0000
1750091360,705.5940,0.8769,720.7911,9.2672,252.0346,0.7990,458.0156,1128.2674,275.8390,2.5305,1.0215,0.0132,0.3572,0.0012,0.6491,3.9390,0.3909,0.0036,1.0044,0.0130,0.3512,0.0012,0.6382,3.8730,0.3844,0.0036,7.2462,0.0051,4.0235,0.0005,0.1365,11.5447,11.1866,0.0239,0.7347,2.8391
1750091564,700.5779,1.0095,717.8921,9.2739,253.3553,0.8720,849.3797,11.0174,278.1173,2.8731,1.0247,0.0133,0.3616,0.0013,1.2124,0.0002,0.3970,0.0041,1.0075,0.0131,0.3556,0.0013,1.1921,0.0002,0.3903,0.0041,7.2522,0.0052,4.0244,0.0006,0.7091,0.0046,11.1917,0.0254,0.3763,0.0000
1750091768,706.4980,0.8905,719.3347,9.2488,256.4545,0.7761,851.3034,10.9526,280.4374,2.3331,1.0182,0.0132,0.3630,0.0012,1.2050,0.0002,0.3969,0.0033,1.0011,0.0129,0.3569,0.0012,1.1848,0.0002,0.3903,0.0033,7.2512,0.0052,4.0230,0.0005,0.7088,0.0045,11.1860,0.0217,0.3733,0.0000
1750091972,708.4139,0.8817,722.4985,9.2776,255.8593,0.7855,854.7303,10.9761,280.5968,2.4851,1.0199,0.0132,0.3612,0.0012,1.2065,0.0002,0.3961,0.0035,1.0028,0.0129,0.3551,0.0012,1.1863,0.0002,0.3895,0.0035,7.2487,0.0051,4.0243,0.0005,0.7113,0.0045,11.1895,0.0223,0.3737,0.0000
1750092176,693.5475,1.3012,710.4694,9.1415,246.8384,0.9180,839.8562,10.8055,269.7368,2.5552,1.0244,0.0133,0.3559,0.0015,1.2110,0.0002,0.3889,0.0038,1.0072,0.0131,0.3499,0.0015,1.1907,0.0002,0.3824,0.0037,7.2474,0.0051,4.0228,0.0005,0.7148,0.0044,11.1849,0.0247,0.3789,0.0000
1750092380,684.3138,1.5532,697.5735,9.0307,243.2072,0.9328,822.4935,11.0256,266.1165,2.6223,1.0194,0.0134,0.3554,0.0016,1.2019,0.0002,0.3889,0.0039,1.0023,0.0132,0.3494,0.0016,1.1818,0.0002,0.3824,0.0039,7.2449,0.0051,4.0235,0.0005,0.7192,0.0045,11.1861,0.0254,0.3859,0.0000
1750092584,688.0326,2.1353,702.6061,9.1712,245.1060,1.0603,830.0807,10.8254,268.0392,2.6487,1.0212,0.0137,0.3562,0.0019,1.2065,0.0002,0.3896,0.0040,1.0041,0.0135,0.3503,0.0019,1.1862,0.0002,0.3830,0.0040,7.2457,0.0052,4.0227,0.0005,0.7180,0.0045,11.1873,0.0246,0.3827,0.0000
1750092788,680.7143,1.1022,697.5582,8.9723,241.9405,0.6915,824.1922,10.5960,264.7614,2.3963,1.0247,0.0133,0.3554,0.0012,1.2108,0.0002,0.3889,0.0036,1.0076,0.0131,0.3495,0.0011,1.1905,0.0002,0.3824,0.0035,7.2468,0.0051,4.0231,0.0005,0.7171,0.0045,11.1877,0.0235,0.3830,0.0000
