id,ecms,ebeam,tmin,tmax,emin,emax
1,0.01745243682789205,0.29803148444000005,37.5,175.0,0.0012,0.017113279054582146
2,0.017405884844427014,0.29644368860000003,37.5,175.0,0.0012,0.017113279054582146
3,0.017358883440088554,0.2948448664,37.5,175.0,0.0012,0.017113279054582146
4,0.017312730810187086,0.29327912328000005,37.5,175.0,0.0012,0.017113279054582146
5,0.017267107452001072,0.29173543288000003,37.5,175.0,0.0012,0.017113279054582146
6,0.01722627020464298,0.29035713788000006,37.5,175.0,0.0012,0.017113279054582146
7,0.017185991632760658,0.28900089560000003,37.5,175.0,0.0012,0.017113279054582146
8,0.01714233188547059,0.28753438972,37.5,175.0,0.0012,0.017113279054582146
9,0.01709691293649531,0.28601275204000004,37.5,175.0,0.0012,0.017113279054582146
10,0.017051042564248536,0.284480088,37.5,175.0,0.0012,0.017113279054582146
11,0.017005379796237848,0.28295845032,37.5,175.0,0.0012,0.017113279054582146
12,0.01695892961443157,0.28141475992,37.5,175.0,0.0012,0.017113279054582146
13,0.01691268500968899,0.27988209588,37.5,175.0,0.0012,0.017113279054582146
14,0.016865645465654253,0.27832737912,37.5,175.0,0.0012,0.017113279054582146
15,0.016818809370050355,0.27678368872,37.5,175.0,0.0012,0.017113279054582146
16,0.01678091061389962,0.27553771004000005,37.5,175.0,0.0012,0.017113279054582146
17,0.016744272128233664,0.2743358368,37.5,175.0,0.0012,0.017113279054582146
18,0.01668325433391046,0.27234006564,37.5,175.0,0.0012,0.017113279054582146
19,0.01743014618340312,0.29727066560000004,37.5,175.0,0.0012,0.017113279054582146
20,0.017386775466668336,0.29579313336,37.5,175.0,0.0012,0.017113279054582146
21,0.0173468695840572,0.29443689108000004,37.5,175.0,0.0012,0.017113279054582146
22,0.017299707842487265,0.29283806888,37.5,175.0,0.0012,0.017113279054582146
23,0.017246537565632658,0.2910407722,37.5,175.0,0.0012,0.017113279054582146
24,0.01720565149615666,0.28966247720000005,37.5,175.0,0.0012,0.017113279054582146
25,0.017164011505999645,0.2882621294800001,37.5,175.0,0.0012,0.017113279054582146
26,0.01712194117593603,0.28685075540000005,37.5,175.0,0.0012,0.017113279054582146
27,0.01707646799308021,0.28532911772,37.5,175.0,0.0012,0.017113279054582146
28,0.01703021170660079,0.28378542732,37.5,175.0,0.0012,0.017113279054582146
29,0.01698017974993732,0.28212044696,37.5,175.0,0.0012,0.017113279054582146
30,0.016937320156315824,0.28069804652,37.5,175.0,0.0012,0.017113279054582146
31,0.016887680287109012,0.27905511888,37.5,175.0,0.0012,0.017113279054582146
32,0.01684157459877459,0.2775334812,37.5,175.0,0.0012,0.017113279054582146
33,0.01679836136959348,0.27611108076,37.5,175.0,0.0012,0.017113279054582146
34,0.01676176102848696,0.27490920752,37.5,175.0,0.0012,0.017113279054582146
35,0.01671463384071138,0.27336551712,37.5,175.0,0.0012,0.017113279054582146
36,0.01665147732166926,0.2713035878,37.5,175.0,0.0012,0.017113279054582146
