0 12 17 30 262.5
0 13 18 11 262.5
0 14 18 23 262.5
0 15 19 3 262.5
0 16 19 15 262.5
1 9 16 21 262.5
1 10 17 3 262.5
1 11 17 17 262.5
1 12 17 31 262.5
1 13 18 12 262.5
1 14 18 24 262.5
1 15 19 4 262.5
1 16 19 16 262.5
1 17 19 27 262.5
1 18 20 10 262.5
1 19 20 23 262.5
2 7 15 28 262.5
2 8 16 8 262.5
2 9 16 22 262.5
2 10 17 4 262.5
2 11 17 18 262.5
2 12 18 1 262.5
2 13 18 13 262.5
2 14 18 25 262.5
2 15 19 5 262.5
2 16 19 17 262.5
2 17 19 28 262.5
2 18 20 11 262.5
2 19 20 24 262.5
2 20 21 6 262.5
2 21 21 18 262.5
3 5 15 5 262.5
3 6 15 16 262.5
3 7 15 29 262.5
3 8 16 9 262.5
3 9 16 23 262.5
3 10 17 5 262.5
3 11 17 19 262.5
3 12 18 2 262.5
3 13 18 14 262.5
3 14 18 26 262.5
3 15 19 6 262.5
3 16 19 18 262.5
3 17 19 29 262.5
3 18 20 12 262.5
3 19 20 25 262.5
3 20 21 7 262.5
3 21 21 19 262.5
3 22 22 0 262.5
3 23 22 11 262.5
4 4 14 25 262.5
4 5 15 6 262.5
4 6 15 17 262.5
4 7 15 30 262.5
4 8 16 10 262.5
4 9 16 24 262.5
4 10 17 6 262.5
4 11 17 20 262.5
4 12 18 3 262.5
4 13 18 15 262.5
4 14 18 27 262.5
4 15 19 7 262.5
4 16 19 19 262.5
4 17 19 30 262.5
4 18 20 13 262.5
4 19 20 26 262.5
4 20 21 8 262.5
4 21 21 20 262.5
4 22 22 1 262.5
4 23 22 12 262.5
4 24 22 23 262.5
5 3 14 16 262.5
5 4 14 26 262.5
5 5 15 7 262.5
5 6 15 18 262.5
5 7 15 31 262.5
5 8 16 11 262.5
5 9 16 25 262.5
5 10 17 7 262.5
5 11 17 21 262.5
5 12 18 4 262.5
5 13 18 16 262.5
5 14 18 28 262.5
5 15 19 8 262.5
5 16 19 20 262.5
5 17 19 31 262.5
5 18 20 14 262.5
5 19 20 27 262.5
5 20 21 9 262.5
5 21 21 21 262.5
5 22 22 2 262.5
5 23 22 13 262.5
5 24 22 24 262.5
5 25 23 1 262.5
6 3 14 17 262.5
6 4 14 27 262.5
6 5 15 8 262.5
6 6 15 19 262.5
6 7 16 0 262.5
6 8 16 12 262.5
6 9 16 26 262.5
6 10 17 8 262.5
6 11 17 22 262.5
6 12 18 5 262.5
6 13 18 17 262.5
6 14 18 29 262.5
6 15 19 9 262.5
6 16 19 21 262.5
6 17 20 1 262.5
6 18 20 15 262.5
