 0 12 17 30 262.719
 0 13 18 11 328.579
 0 14 18 23 273.818
 0 15 19 3 277.984
 0 16 19 15 238.252
 1 9 16 21 242.059
 1 10 17 3 266.736
 1 11 17 17 214.379
 1 12 17 31 240.362
 1 13 18 12 309.402
 1 14 18 24 285.185
 1 15 19 4 295.088
 1 16 19 16 275.136
 1 17 19 27 251.065
 1 18 20 10 218.902
 1 19 20 23 366.093
 2 7 15 28 261.364
 2 8 16 8 259.149
 2 9 16 22 297.334
 2 10 17 4 230.363
 2 11 17 18 257.893
 2 12 18 1 272.783
 2 13 18 13 277.119
 2 14 18 25 215.067
 2 15 19 5 245.692
 2 16 19 17 264.724
 2 17 19 28 349.921
 2 18 20 11 232.888
 2 19 20 24 287.397
 2 20 21 6 269.549
 2 21 21 18 345.303
 3 5 15 5 253.857
 3 6 15 16 270.86
 3 7 15 29 264.118
 3 8 16 9 243.077
 3 9 16 23 232.968
 3 10 17 5 257.513
 3 11 17 19 214.696
 3 12 18 2 320.498
 3 13 18 14 236.385
 3 14 18 26 216.303
 3 15 19 6 348.652
 3 16 19 18 270.506
 3 17 19 29 272.703
 3 18 20 12 274.224
 3 19 20 25 262.943
 3 20 21 7 309.251
 3 21 21 19 313.268
 3 22 22 0 297.642
 3 23 22 11 259.648
 4 4 14 25 267.978
 4 5 15 6 305.24
 4 6 15 17 241.732
 4 7 15 30 230.024
 4 8 16 10 190.456
 4 9 16 24 238.485
 4 10 17 6 231.723
 4 11 17 20 258.729
 4 12 18 3 251.539
 4 13 18 15 234.099
 4 14 18 27 266.926
 4 15 19 7 269.52
 4 16 19 19 282.152
 4 17 19 30 266.401
 4 18 20 13 254.228
 4 19 20 26 274.896
 4 20 21 8 338.057
 4 21 21 20 357.817
 4 22 22 1 264.432
 4 23 22 12 284.223
 4 24 22 23 207
 5 3 14 16 263.566
 5 4 14 26 276.468
 5 5 15 7 329.46
 5 6 15 18 236.808
 5 7 15 31 281.396
 5 8 16 11 221.959
 5 9 16 25 336.394
 5 10 17 7 282.826
 5 11 17 21 270.708
 5 12 18 4 248.817
 5 13 18 16 303.615
 5 14 18 28 221.527
 5 15 19 8 229.084
 5 16 19 20 274.597
 5 17 19 31 363.425
 5 18 20 14 255.828
 5 19 20 27 255.57
 5 20 21 9 261.497
 5 21 21 21 314.41
 5 22 22 2 476.149
 5 23 22 13 326.057
 5 24 22 24 380.354
 5 25 23 1 360.395
 6 3 14 17 297.231
 6 4 14 27 209.387
 6 5 15 8 268.945
 6 6 15 19 209.538
 6 7 16 0 238.159
 6 8 16 12 231.955
 6 9 16 26 188.245
 6 10 17 8 261.4
 6 11 17 22 207.621
 6 12 18 5 264.697
 6 13 18 17 312.918
 6 14 18 29 203.55
 6 15 19 9 251.699
 6 16 19 21 247.209
 6 17 20 1 269.997
 6 18 20 15 236.01
 6 19 20 28 333.318
 6 20 21 10 291.536
 6 21 21 22 263.853
 6 22 22 3 309.552
 6 23 22 14 242.791
 6 24 22 25 273.48
 6 25 23 2 270.871
 7 2 14 8 256.501
 7 3 14 18 279.973
 7 4 14 28 258.936
 7 5 15 9 207.179
 7 6 15 20 235.569
 7 7 16 1 248.388
 7 8 16 13 253.189
 7 9 16 27 199.051
 7 10 17 9 296.451
 7 11 17 23 329.502
 7 12 18 6 278.124
 7 13 18 18 299.205
 7 14 18 30 277.306
 7 15 19 10 239.861
 7 16 19 22 235.591
 7 17 20 2 316.106
 7 18 20 16 253.342
 7 19 20 29 297.274
 7 20 21 11 322.429
 7 21 21 23 296.535
 7 22 22 4 381.726
 7 23 22 15 256.712
 7 24 22 26 285.598
 7 25 23 3 294.993
 7 26 23 11 248.826
 8 2 14 9 221.14
 8 3 14 19 282.092
 8 4 14 29 254.457
 8 5 15 10 251.419
 8 6 15 21 243.85
 8 7 16 2 224.392
 8 8 16 14 279.866
 8 9 16 28 223.203
 8 10 17 10 271.576
 8 11 17 24 253.954
 8 12 18 7 268.152
 8 13 18 19 289.659
 8 14 18 31 278.221
 8 15 19 11 201.445
 8 16 19 23 227.468
 8 17 20 3 287.892
 8 18 20 17 276.328
 8 19 20 30 279.055
 8 20 21 12 241.772
 8 21 21 24 337.895
 8 22 22 5 256.55
 8 23 22 16 273.934
 8 24 22 27 309.014
 8 25 23 4 277.142
 8 26 23 12 250.903
 9 1 14 3 478.608
 9 2 14 10 257.379
 9 3 14 20 254.874
 9 4 14 30 230.241
 9 5 15 11 220.172
 9 6 15 22 243.096
 9 7 16 3 301.337
 9 8 16 15 342.321
 9 9 16 29 261.415
 9 10 17 11 241.831
 9 11 17 25 450.103
 9 12 18 8 273.948
 9 13 18 20 282.171
 9 14 19 0 276.118
 9 15 19 12 320.728
 9 16 19 24 232.85
 9 17 20 4 194.953
 9 18 20 18 248.446
 9 19 20 31 223.89
 9 20 21 13 267.646
 9 21 21 25 286.825
 9 22 22 7 458.31
 9 23 22 17 182.213
 9 24 22 28 237.564
 9 25 23 5 347.073
 9 26 23 13 345.059
 9 27 23 18 308.137
 10 1 14 4 309.839
 10 2 14 11 271.616
 10 3 14 21 285.662
 10 4 15 0 251.743
 10 5 15 12 247.923
 10 6 15 23 239.466
 10 7 16 4 268.106
 10 8 16 16 211.574
 10 9 16 30 305.857
 10 10 17 12 264.544
 10 11 17 26 301.145
 10 12 18 9 283.314
 10 13 18 21 282.711
 10 14 19 1 316.806
 10 15 19 13 312.493
 10 16 19 25 272.413
 10 17 20 5 276.869
 10 18 20 19 326.392
 10 19 21 1 237.764
 10 20 21 14 293.743
 10 21 21 26 295.235
 10 22 22 6 74.775
 10 23 22 18 271.836
 10 24 22 29 293.071
 10 25 23 6 256.775
 10 26 23 14 272.784
 10 27 23 19 380.588
 11 1 14 5 544.83
 11 2 14 12 390.698
 11 3 14 22 275.557
 11 4 15 1 291.779
 11 5 15 13 266.053
 11 6 15 24 262.811
 11 7 16 5 219.352
 11 8 16 17 213.278
 11 9 16 31 296.513
 11 10 17 13 289.086
 11 11 17 27 240.274
 11 12 18 10 285.668
 11 13 18 22 273.459
 11 14 19 2 214.813
 11 15 19 14 238.157
 11 16 19 26 237.389
 11 17 20 6 289.67
 11 18 20 20 270.664
 11 19 21 2 209.04
 11 20 21 15 321.819
 11 21 21 27 275.421
 11 22 22 8 267.746
 11 23 22 19 212.63
 11 24 22 30 263.528
 11 25 23 7 333.974
 11 26 23 15 325.133
 11 27 23 20 402.934
 12 0 14 0 194.679
 12 1 14 6 400.897
 12 2 14 13 273.356
 12 3 14 23 251.787
 12 4 15 2 294.776
 12 5 15 14 292.438
 12 6 15 25 289.648
 12 7 16 6 176.554
 12 8 16 18 286.239
 12 9 17 1 160.073
 12 10 17 14 224.136
 12 11 17 28 255.737
 12 17 20 7 293.997
 12 18 20 21 249.987
 12 19 21 3 246.853
 12 20 21 16 229.299
 12 21 21 28 291.037
 12 22 22 9 273.29
 12 23 22 20 303.867
 12 24 22 31 292.54
 12 25 23 8 275.522
 12 26 23 16 299.128
 12 27 23 21 288.304
 12 28 23 24 249.137
 13 0 14 1 247.959
 13 1 14 7 439.496
 13 2 14 14 261.227
 13 3 14 24 244.08
 13 4 15 3 201.199
 13 5 15 15 326.534
 13 6 15 26 261.616
 13 7 16 7 253.082
 13 8 16 19 261.533
 13 9 17 2 280.198
 13 10 17 15 320.691
 13 11 17 29 243.765
 13 17 20 8 326.82
 13 18 20 22 234.976
 13 19 21 4 284.859
 13 20 21 17 241.248
 13 21 21 29 261.712
 13 22 22 10 241.733
 13 23 22 21 272.741
 13 24 23 0 219.409
 13 25 23 9 292.944
 13 26 23 17 260.237
 13 27 23 22 433.022
 13 28 23 25 206.953
 14 0 14 2 299.462
 14 1 0 2 88.671
 14 2 14 15 220.761
 14 3 0 15 287.114
 14 4 15 4 301.647
 14 5 1 4 220.223
 14 6 15 27 282.046
 14 7 1 27 262.156
 14 8 16 20 262.641
 14 9 2 20 247.816
 14 10 17 16 264.963
 14 11 3 16 240.868
 14 17 20 9 183.591
 14 18 6 9 268.868
 14 19 21 5 339.063
 14 20 7 5 317.254
 14 21 21 30 290.484
 14 22 7 30 245.415
 14 23 22 22 197.35
 14 24 8 22 272.525
 14 25 23 10 318.71
 14 26 9 10 224.241
 14 27 23 23 261.414
 14 28 9 23 202.139
 15 0 0 0 358.675
 15 1 0 3 384.049
 15 2 0 8 0.
 15 3 0 16 286.119
 15 4 0 25 241.787
 15 5 1 5 279.49
 15 6 1 16 197.106
 15 7 1 28 242.971
 15 8 2 8 164.887
 15 9 2 21 240.649
 15 10 3 3 247.085
 15 11 3 17 105.312
 15 17 5 27 292.256
 15 18 6 10 254.588
 15 19 6 23 264.65
 15 20 7 6 183.091
 15 21 7 18 247.607
 15 22 8 0 276.899
 15 23 8 11 281.819
 15 24 8 23 239.229
 15 25 9 1 287.914
 15 26 9 11 235.418
 15 27 9 18 388.492
 15 28 9 24 233.285
 16 0 0 1 204.033
 16 1 0 4 94.084
 16 2 0 9 132.678
 16 3 0 17 234.766
 16 4 0 26 244.375
 16 5 1 6 272.622
 16 6 1 17 249.971
 16 7 1 29 217.224
 16 8 2 9 263.256
 16 9 2 22 244.175
 16 10 3 4 284.832
 16 11 3 18 217.424
 16 17 5 28 255.438
 16 18 6 11 191.828
 16 19 6 24 241.223
 16 20 7 7 245.658
 16 21 7 19 245.497
 16 22 8 1 257.591
 16 23 8 12 260.196
 16 24 8 24 304.629
 16 25 9 2 216.763
 16 26 9 12 306.572
 16 27 9 19 268.12
 16 28 9 25 222.468
 17 1 0 5 131.558
 17 2 0 10 235.438
 17 3 0 18 322.731
 17 4 0 27 104.895
 17 5 1 7 206.92
 17 6 1 18 227.389
 17 7 1 30 274.315
 17 8 2 10 314.877
 17 9 2 23 172.025
 17 10 3 5 247.29
 17 11 3 19 243.228
 17 12 3 30 233.666
 17 13 4 11 231.199
 17 14 4 23 182.618
 17 15 5 3 272.412
 17 16 5 15 314.282
 17 17 5 29 191.415
 17 18 6 12 225
 17 19 6 25 230.857
 17 20 7 8 206.342
 17 21 7 20 256.959
 17 22 8 2 263.734
 17 23 8 13 243.01
 17 24 8 25 260.194
 17 25 9 3 231.459
 17 26 9 13 386.742
 17 27 9 20 281.889
 18 1 0 6 255
 18 2 0 11 287.236
 18 3 0 19 262.867
 18 5 1 8 0.
 18 6 1 19 219.759
 18 7 1 31 239.913
 18 8 2 11 238.771
 18 9 2 24 226.501
 18 11 3 20 219.255
 18 12 3 31 278.521
 18 13 4 12 237.459
 18 14 4 24 280.384
 18 15 5 4 228.627
 18 16 5 16 248.385
 18 17 5 30 250.388
 18 18 6 13 161.847
 18 19 6 26 404.797
 18 20 7 9 303.656
 18 21 7 21 231.187
 18 22 8 3 422.8
 18 23 8 14 240.152
 18 24 8 26 220.351
 18 25 9 4 252.847
 18 26 9 14 297.205
 18 27 9 21 343.074
 19 1 0 7 255.506
 19 2 0 12 248.961
 19 3 0 20 305.412
 19 4 0 29 115.935
 19 5 1 9 226.219
 19 6 1 20 249.555
 19 7 2 0 243.906
 19 8 2 12 225.821
 19 9 2 25 291.349
 19 10 3 7 183.134
 19 11 3 21 265.075
 19 12 4 1 183.282
 19 13 4 13 261.426
 19 14 4 25 247.631
 19 15 5 5 220.263
 19 16 5 17 222.302
 19 17 5 31 255.965
 19 18 6 14 238.888
 19 19 6 27 192.74
 19 20 7 10 264.714
 19 21 7 22 254.768
 19 22 8 4 268.843
 19 23 8 15 233.812
 19 24 8 27 260.874
 19 25 9 5 261.691
 19 26 9 15 382.33
 19 27 9 22 375.876
 20 2 0 13 241.889
 20 3 0 21 332.916
 20 4 0 30 0. 
 20 5 1 10 255.835
 20 6 1 21 261.570
 20 7 2 1 306.258
 20 8 2 13 241.888
 20 9 2 26 237.962
 20 10 3 8 282.511
 20 11 3 22 283.131
 20 12 4 2 80.6193
 20 13 4 14 887.960
 20 14 4 26 211.03
 20 15 5 6 236.724
 20 16 5 18 235.92
 20 17 6 1 267.313
 20 18 6 15 312.155
 20 19 6 28 269.89
 20 20 7 11 234.659
 20 21 7 23 277.532
 20 22 8 5 298.302
 20 23 8 16 281.788
 20 24 8 28 270.678
 20 25 9 6 215.666
 20 26 9 16 282.002
 21 2 0 14 303.907
 21 3 0 22 311.623
 21 4 1 0 210.489
 21 5 1 11 166.704
 21 6 1 22 271.332
 21 7 2 2 222.064
 21 8 2 14 272.66
 21 9 2 27 258.04
 21 10 3 9 214.259
 21 11 3 23 119.237
 21 12 4 3 267.203
 21 13 4 15 264.861
 21 14 4 27 295.684
 21 15 5 7 226.73
 21 16 5 19 230.237
 21 17 6 2 211.75
 21 18 6 16 232.649
 21 19 6 29 281.968
 21 20 7 12 237.021
 21 21 7 24 211.687
 21 22 8 6 0.
 21 23 8 17 260.843
 21 24 8 29 268.756
 21 25 9 7 397.868
 21 26 9 17 250.902
 22 3 0 23 226.673
 22 4 1 1 256.962
 22 5 1 12 112.86
 22 6 1 23 214.143
 22 7 2 3 248.584
 22 9 2 28 247.705
 22 10 3 10 273.423
 22 11 3 24 244.289
 22 12 4 4 246.977
 22 13 4 16 283.159
 22 14 4 28 216.056
 22 15 5 8 266.985
 22 16 5 20 242.272
 22 17 6 3 246.445
 22 18 6 17 258.029
 22 19 6 30 202.324
 22 20 7 13 245.127
 22 21 7 25 186.86
 22 22 8 7 264.577
 22 23 8 18 237.102
 22 24 8 30 278.52
 22 25 9 8 276.112
 23 3 0 24 301.979
 23 4 1 2 122.043
 23 5 1 13 159.9
 23 6 1 24 261.516
 23 7 2 4 231.544
 23 8 2 16 261.602
 23 9 2 29 261.318
 23 10 3 11 250.826
 23 11 3 25 116.874
 23 12 4 5 274.855
 23 13 4 17 274.108
 23 14 4 29 231.807
 23 15 5 9 241.409
 23 16 5 21 236.438
 23 17 6 4 221.887
 23 18 6 18 241.209
 23 19 6 31 238.738
 23 20 7 14 250.792
 23 21 7 26 247.37
 23 22 8 8 303.984
 23 23 8 19 241.995
 23 24 8 31 268.589
 23 25 9 9 322.542
 24 4 1 3 303.898
 24 5 1 14 114.00
 24 6 1 25 120.426
 24 7 2 5 212.367
 24 8 2 17 180.845
 24 9 2 30 274.801
 24 10 3 12 213.016
 24 11 3 26 245.638
 24 12 4 6 119.332
 24 13 4 18 245.253
 24 14 4 30 313.577
 24 15 5 10 333.776
 24 16 5 22 252.519
 24 17 6 5 303.828
 24 18 6 19 355.033
 24 19 7 1 279.688
 24 20 7 17 233.342
 24 21 7 27 257.678
 24 22 8 9 273.961
 24 23 8 20 270.96
 24 24 9 0 226.637
 25 5 1 15 255
 25 6 1 26 268.769
 25 7 2 6 235.244
 25 8 2 18 308.051
 25 9 2 31 232.3
 25 10 3 13 272.578
 25 11 3 27 283.243
 25 12 4 7 261.831
 25 13 4 19 239.892
 25 14 4 31 253.731
 25 15 5 11 220.846
 25 16 5 23 196.756
 25 17 6 6 376.014
 25 18 6 20 287.112
 25 19 7 2 238.629
 25 20 7 16 255.57
 25 21 7 28 228.295
 25 22 8 10 311.126
 25 23 8 21 302.786
 26 7 2 7 412.212
 26 8 2 19 242.424
 26 9 3 1 94.781
 26 10 3 14 293.74
 26 11 3 28 245.844
 26 12 4 8 169.847
 26 13 4 20 264.09
 26 14 5 0 182.344
 26 15 5 12 249.192
 26 16 5 24 223.789
 26 17 6 7 288.275
 26 18 6 21 241.309
 26 19 7 3 275.747
 26 20 7 15 243.127
 26 21 7 29 335.131
 27 9 3 2 368.016
 27 10 3 15 293.97
 27 11 3 29 287.676
 27 12 4 9 274.281
 27 13 4 21 346.837
 27 14 5 1 367.922
 27 15 5 13 244.881
 27 16 5 25 201.597
 27 17 6 8 245.943
 27 18 6 22 300.817
 27 19 7 4 263.224
 28 12 4 10 303.015
 28 13 4 22 259.05
 28 14 5 2 276.652
 28 15 5 14 286.52
 28 16 5 26 348.76
