#RunNumber = 677
# period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax,sigmay,err_sigmay
0,93649.2,306.022,39194.4,197.976,171.632,0.0210562,184.38,0.0883509,42.1826,0,75.1129,0
1,100573,317.132,42169,205.351,171.534,0.0277547,182.228,0.0875506,42.6744,0,70.3534,0
2,115315,339.581,49136,221.666,171.172,0.0166826,181.335,0.065281,42.192,0,68.2923,0
3,114988,339.1,48963.5,221.277,171.064,0.0165143,181.243,0.0665464,41.8101,0,68.8026,0
4,115662,340.092,48940.7,221.225,171.262,0.0161365,181.318,0.0659271,41.9848,0,68.1239,0
5,116852,341.836,49343.5,222.134,171.141,0.016296,181.97,0.065979,41.9795,0,67.671,0
6,118544,344.302,50677,225.116,171.123,0.015668,182.017,0.0639102,42.1374,0,68.5698,0
7,117321,342.521,50740.8,225.257,171.278,0.0160447,182.368,0.0647248,42.0834,0,69.3705,0
8,116001,340.589,49015,221.393,171.429,0.0161135,182.372,0.0663715,41.8047,0,68.3379,0
9,114984,339.093,49506.8,222.501,171.201,0.0163821,182.925,0.0679005,41.9897,0,71.2078,0
10,112408,335.273,51224.8,226.329,171.405,0.0170427,183.929,0.0679613,41.9334,0,82.0718,0
11,111069,333.27,46453,215.53,171.321,0.0172214,183.515,0.0712952,42.1361,0,69.617,0
12,106702,326.653,44596.7,211.179,171.488,0.0189109,182.797,0.0761032,41.9932,0,69.9454,0
13,11434.3,106.931,14400.2,120.001,165.814,0.608862,203.232,0.782716,209.943,0,215.883,0
14,102015,319.398,54163.3,232.73,171.63,0.02247,184.165,0.0920477,43.181,0,115.337,0
15,100601,317.177,42008,204.959,171.735,0.0188446,180.483,0.0771681,42.0179,0,71.3835,0
16,103872,322.291,43491.8,208.547,171.715,0.0193179,181.764,0.0766296,42.0542,0,71.402,0
17,102634,320.365,43852.9,209.411,171.666,0.0189343,183.019,0.0738621,41.9751,0,74.7672,0
18,99705.1,315.761,41506,203.73,171.744,0.0198836,182.631,0.0790164,42.0231,0,71.1581,0
19,96224,310.2,39822.2,199.555,171.982,0.0207134,183.216,0.0856273,42.1419,0,71.7301,0
20,92103.5,303.486,38421.3,196.013,172.098,0.0210886,182.771,0.0866776,42.1299,0,73.5251,0
21,91025,301.703,37422.4,193.449,172.224,0.0208456,183.082,0.0883332,42.1756,0,73.2947,0
22,92309.8,303.825,37841,194.528,172.19,0.0210491,184.571,0.0876767,42.1145,0,72.3227,0
23,92016.6,303.342,38201.5,195.452,171.794,0.0228831,184.985,0.0918278,42.2828,0,73.416,0
24,96669.6,310.917,40464.2,201.157,171.744,0.0201932,183.904,0.08364,42.0795,0,72.8528,0
25,96309.5,310.338,40696.9,201.735,171.642,0.019473,183.677,0.0826088,42.0326,0,73.3832,0
26,95423.1,308.906,40474.4,201.183,171.535,0.0195089,183.344,0.0839112,42.0976,0,73.5502,0
27,94797.5,307.892,39374.4,198.43,171.763,0.0205335,183.362,0.0846719,42.1376,0,71.384,0
28,92031.2,303.366,38366.8,195.875,171.84,0.0199748,183.344,0.088518,42.0885,0,72.9053,0
29,90525.9,300.875,37472.4,193.578,171.966,0.0208749,183.222,0.0899856,41.9174,0,73.0609,0
30,90816,301.357,37804.5,194.434,171.819,0.0211154,183.196,0.0890679,42.1267,0,72.5816,0
31,89281.6,298.8,37630.5,193.986,171.757,0.0210812,183.105,0.0909887,42.1312,0,75.4307,0
32,89916,299.86,37262,193.034,171.781,0.0214474,182.332,0.08868,42.1681,0,72.5793,0
33,90034.2,300.057,37624.1,193.969,171.924,0.0203347,182.009,0.0887253,41.8794,0,74.1428,0
34,90227,300.378,39124.2,197.798,171.998,0.0211647,182.66,0.0881783,42.111,0,79.9094,0
35,89797.1,299.662,37404.1,193.401,171.934,0.0208047,182.177,0.089865,42.0727,0,74.1774,0
36,88897.1,298.156,36960.1,192.25,171.897,0.0209931,182.291,0.0899921,42.1764,0,73.6442,0
37,87435.8,295.695,36827.5,191.905,172.077,0.0211261,182.421,0.0942445,41.9992,0,76.3872,0
38,87435.4,295.695,36679.5,191.519,172.048,0.0211801,182.951,0.0929978,42.2845,0,76.64,0
39,86425,293.981,35778.6,189.152,171.976,0.0220665,182.21,0.0957417,41.9991,0,74.296,0
40,85356.1,292.158,35197.3,187.61,172.042,0.0215288,182.362,0.0945009,41.9134,0,73.4963,0
41,86083.9,293.4,35788.9,189.18,172.138,0.0222111,182.461,0.0939295,42.0755,0,75.1771,0
42,84946.1,291.455,35053.7,187.226,172.315,0.0212676,182.73,0.0953601,42.0619,0,74.0948,0
43,85539,292.471,35569,188.597,172.14,0.0218257,182.129,0.092032,42.1225,0,75.7951,0
44,85689.9,292.728,35211.9,187.648,172.209,0.0219561,182.507,0.0945776,41.9142,0,73.949,0
45,86193,293.586,35664.9,188.852,172.136,0.0213625,182.31,0.0939238,42.023,0,74.8376,0
46,86571.5,294.23,35909,189.497,172.123,0.021869,182.006,0.0938156,42.2685,0,75.0506,0
47,86616.7,294.307,36583.1,191.267,171.972,0.021489,182.502,0.0916771,42.2078,0,77.5055,0
