#RunNumber = 677
# period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax,sigmay,err_sigmay
48,85599.8,292.574,35452.7,188.289,172.108,0.0216232,181.503,0.0935009,42.0592,0,74.4927,0
49,83945.3,289.733,34809.7,186.573,172.105,0.0221223,181.568,0.0963019,42.0353,0,75.758,0
50,84077.2,289.961,35194.5,187.602,172.077,0.0217596,181.194,0.0943951,42.2259,0,76.0939,0
51,83046.8,288.178,34404.1,185.483,172.298,0.0212165,181.339,0.0973077,42.0258,0,74.5367,0
52,82732.5,287.633,33847.8,183.978,172.289,0.0218219,180.803,0.0956497,42.1222,0,74.2167,0
53,80100.5,283.02,33432.1,182.844,172.33,0.0227318,180.117,0.0992568,41.9919,0,77.4284,0
54,78963.7,281.005,32548.7,180.413,172.465,0.0238877,181.2,0.103089,41.9111,0,75.969,0
55,80223.2,283.237,33113.4,181.971,172.31,0.0227757,180.692,0.102763,42.0654,0,76.3393,0
56,77586.5,278.544,31856.2,178.483,172.453,0.0241347,180.705,0.105615,42.2263,0,76.4178,0
57,76068.6,275.805,31288.1,176.884,172.556,0.0233194,180.642,0.107776,41.9417,0,76.9046,0
58,69356.2,263.356,29333.2,171.269,172.869,0.0266906,182.298,0.116315,42.3004,0,81.2892,0
59,66068.1,257.037,27818.9,166.79,173.157,0.0258552,183.751,0.124774,42.3257,0,81.1403,0
60,63246.9,251.489,26669.9,163.309,173.025,0.0275844,183.458,0.12704,42.1717,0,81.0418,0
61,77732.9,278.806,32340.5,179.835,172.347,0.0250114,180.556,0.105528,42.1054,0,76.8137,0
62,87773.5,296.266,37568.9,193.827,172.052,0.0208963,179.68,0.0875457,42.1457,0,79.012,0
63,86870,294.737,36766.5,191.746,172.165,0.0235095,179.833,0.0909312,42.1435,0,77.1972,0
64,83303.6,288.624,34223.2,184.995,172.184,0.0217613,178.844,0.0940274,42.1107,0,75.8325,0
65,86627.9,294.326,36181,190.213,171.762,0.0222045,179.227,0.0907371,42.2648,0,73.9396,0
66,77169.5,277.794,32448.7,180.135,172.134,0.0227554,178.868,0.101968,42.2607,0,80.5747,0
67,73687.5,271.454,30582.5,174.879,172.02,0.023629,178.224,0.106226,42.2256,0,78.4016,0
68,77493.1,278.376,32642.9,180.674,172.131,0.0228781,179.355,0.101802,42.0978,0,79.8062,0
69,79545.1,282.037,34118.7,184.713,172.038,0.0218804,180.547,0.0967069,42.3362,0,83.0447,0
70,80519.8,283.76,33097.3,181.927,172.136,0.0214884,179.111,0.0989338,42.2252,0,76.5133,0
71,80290.3,283.355,34515,185.782,172.155,0.023196,179.705,0.097765,42.1,0,82.657,0
72,83795.9,289.475,34827,186.62,171.995,0.0221672,178.55,0.0934997,42.0915,0,75.5589,0
73,80650.5,283.99,33739.7,183.684,172.112,0.0218692,178.247,0.0981571,42.2622,0,78.614,0
74,73865.9,271.783,30242.8,173.905,172.083,0.0228814,177.764,0.107845,42.2942,0,77.7697,0
75,76005.6,275.691,31689,178.014,172.139,0.0224128,178.19,0.102467,42.2689,0,80.3392,0
76,73118.3,270.404,30875.6,175.715,172.402,0.0220223,176.893,0.102934,42.2105,0,83.4516,0
77,71711.6,267.79,29571.6,171.964,172.318,0.0230833,176.838,0.106945,42.1172,0,79.5109,0
78,70493.2,265.505,29223.6,170.949,172.302,0.0229688,177.507,0.107297,42.1322,0,80.327,0
79,71373.9,267.159,29529,171.84,172.4,0.0231754,178.56,0.111771,42.1732,0,79.8654,0
80,73816.5,271.692,30288.3,174.035,172.37,0.0250447,179.63,0.107757,42.2686,0,77.1299,0
81,73129.1,270.424,31935.6,178.705,172.322,0.0249155,181.298,0.108495,42.1894,0,86.5038,0
82,71986.8,268.304,30198.9,173.778,172.358,0.0250373,179.8,0.112962,42.1584,0,79.2513,0
83,71009.4,266.476,29614.4,172.088,172.369,0.0246697,179.752,0.111058,42.2652,0,79.6228,0
84,72805.9,269.826,30470.4,174.558,172.625,0.0246111,180.296,0.111511,42.1777,0,80.1995,0
85,75362,274.521,31100.5,176.353,172.223,0.0237467,180.072,0.10874,42.2775,0,77.7373,0
86,77166.9,277.789,32239.4,179.553,172.095,0.0244443,180.132,0.103039,41.9161,0,78.4449,0
87,76331.4,276.281,32375.9,179.933,172.231,0.0235295,180.869,0.10469,42.0368,0,80.6152,0
88,76729.7,277.001,31819.2,178.379,172.435,0.0238876,181.226,0.106969,41.9632,0,78.7334,0
89,76691.1,276.932,32465,180.18,172.097,0.0232584,181.197,0.103931,42.0842,0,81.1567,0
90,76985.1,277.462,32005.8,178.902,172.135,0.0223008,179.815,0.103592,41.8831,0,77.1307,0
91,76345,276.306,31618.9,177.817,172.139,0.0226014,180.04,0.106088,42.1305,0,76.7475,0
92,74468.3,272.889,32071.6,179.085,172.247,0.024626,180.49,0.107735,42.1226,0,85.2964,0
93,72715,269.657,30785.5,175.458,172.377,0.0239674,179.527,0.109672,42.4748,0,80.8767,0
94,72569,269.386,32384,179.956,172.649,0.0252074,180.478,0.10814,41.6275,0,91.9401,0
95,73334.9,270.804,30893,175.764,172.491,0.0240224,179.38,0.111234,42.0337,0,81.2832,0
96,74433.6,272.825,30930.9,175.872,172.242,0.0242393,179.724,0.10966,41.9889,0,79.535,0
97,75242.4,274.303,32555,180.43,172.257,0.0230524,180.421,0.105993,42.2274,0,85.9871,0
98,73333.3,270.801,30487.3,174.606,172.317,0.0236649,180.483,0.110847,41.9887,0,77.9874,0
99,74731.4,273.371,31027.1,176.145,172.206,0.024272,180.614,0.10847,42.1479,0,77.7157,0
