80332	1749844869	1749881573	298.0314844	314.5930772	1970	0	0	0	0	0	6.795098078589481	3.1219660267389973	0.8236291191248605	0	0	0	0	0	0	0	0	0	0.06390036281565967	0.07763711367620917	0	0	0	0	0	0	0	0	11.697377522214627	0.07768045237573151	13.282459590915577	0.06005718487946954	0	0	0	0	0	0	0	0	0	0	1	0
80333	1749882076	1749913522	298.0314844	314.5930772	1660	0	0	0	0	0	6.678720171399339	3.133110280941733	0.8199331442757224	0	0	0	0	0	0	0	0	0	0.0715873159201598	0.08759979630060352	0	0	0	0	0	0	0	0	11.834120767978941	0.08976987322351349	13.51557443055255	0.06909071463581373	0	0	0	0	0	0	0	0	0	0	1	1
80335	1749925735	1749957242	298.0314844	314.5930772	1560	0	0	0	0	0	6.173074030175594	1.4682577031478694	0.8145254049643365	0	0	0	0	0	0	0	0	0	0.07168578494924183	0.08991553761737683	0	0	0	0	0	0	0	0	11.548636868384209	0.0924555357595942	13.460346488279708	0.06720953130590335	0	0	0	0	0	0	0	0	0	0	1	1
80338	1749989529	1750016945	298.0314844	314.5930772	1465	0	0	0	0	0	6.213045870598627	2.759673647268046	0.8105847953957086	0	0	0	0	0	0	0	0	0	0.07130464347427722	0.08723464850545455	0	0	0	0	0	0	0	0	11.088506398625436	0.08898411791450922	13.470891270926622	0.07328750104244808	0	0	0	0	0	0	0	0	0	0	1	1
80341	1750023138	1750049645	298.0314844	314.5930772	1420	0	0	0	0	0	6.406760328332357	2.9135784636838062	0.8185221663839836	0	0	0	0	0	0	0	0	0	0.07087171392229302	0.08771955739356868	0	0	0	0	0	0	0	0	11.845654949442917	0.08991093092097469	13.629302014245127	0.06741793895720072	0	0	0	0	0	0	0	0	0	0	1	0
80342	1750051118	1750079065	298.0314844	314.5930772	1500	0	0	0	0	0	6.19519163777883	2.896208984574117	0.8179687883921045	0	0	0	0	0	0	0	0	0	0.06662656708945908	0.08646132186608399	0	0	0	0	0	0	0	0	11.399394163137034	0.08959455594019605	13.576554831145058	0.06217339315992998	0	0	0	0	0	0	0	0	0	0	1	1
80344	1750090951	1750101431	296.4436886	312.9280968	545	0	0	0	0	0	6.059084144875892	2.6967522608239043	0.816102993185691	0	0	0	0	0	0	0	0	0	0.12081728891096377	0.14550655822024497	0	0	0	0	0	0	0	0	11.236422719921759	0.14372991869069285	13.169223363936656	0.1230706513124149	0	0	0	0	0	0	0	0	1	0	1	1
80350	1750143517	1750168023	296.4436886	312.9280968	1300	0	0	0	0	0	6.663326607758033	2.843849478483476	0.8204151402790564	0	0	0	0	0	0	0	0	0	0.08310194899024317	0.10212946695779265	0	0	0	0	0	0	0	0	12.215074290241587	0.1066143761377516	13.963606120524691	0.08002300653934302	0	0	0	0	0	0	0	0	1	0	1	0
80352	1750175742	1750201861	296.4436886	312.9280968	1370	0	0	0	0	0	6.757779615667348	2.8084672550967835	0.824002424581872	0	0	0	0	0	0	0	0	0	0.06893921567253927	0.08598327348684456	0	0	0	0	0	0	0	0	11.63628296230707	0.08800469488205209	13.483891013551618	0.06483327566377195	0	0	0	0	0	0	0	0	1	0	1	0
80353	1750204697	1750230146	296.4436886	312.9280968	1355	0	0	0	0	0	6.896803951027153	2.697762628515361	0.820125656752793	0	0	0	0	0	0	0	0	0	0.07587753126759715	0.09850567841114237	0	0	0	0	0	0	0	0	11.20680963125168	0.11340929014073264	13.128786494176563	0.07780928966401301	0	0	0	0	0	0	0	0	1	0	1	0
