# Channel Old_Q Old_C 1WfSliding_Q 1WfSliding_C 1WfSlidingCMN_Q 1WfSlidingCMN_C 1WfFixed_Q 1WfFixed_C 1WfFixedCMN_Q 1WfFixedCMN_C CumSliding_Q CumSliding_C CumSlidingCMN_Q CumSlidingCMN_C CumFixed_Q CumFixed_C CumFixedCMN_Q CumFixedCMN_C 
 0 3.129445e+05 4.156527e-02 7.822270e+05 1.038954e-01 3.104889e+04 4.123912e-03 5.476528e+05 7.273922e-02 3.536171e+05 4.696740e-02 4.671379e+03 6.204522e-04 6.073036e+00 8.066203e-07 2.017224e+04 2.679276e-03 3.126533e-305 4.152659e-312 
 1 2.271611e+05 3.017152e-02 7.199635e+05 9.562551e-02 9.275231e+03 1.231936e-03 3.975319e+05 5.280016e-02 3.286844e+05 4.365585e-02 4.081251e+03 5.420716e-04 4.785977e+00 6.356731e-07 3.934087e+02 5.225253e-05 5.332115e-318 0.000000e+00 
 2 2.451230e+05 3.255722e-02 7.365364e+05 9.782673e-02 1.121564e+04 1.489660e-03 4.289652e+05 5.697514e-02 3.290470e+05 4.370401e-02 4.051026e+03 5.380570e-04 4.560883e+00 6.057763e-07 1.355921e+03 1.800934e-04 1.421897e-317 0.000000e+00 
 3 2.316610e+05 3.076921e-02 7.427350e+05 9.865003e-02 8.440365e+04 1.121049e-02 4.054068e+05 5.384611e-02 1.889577e+05 2.509735e-02 4.499150e+03 5.975768e-04 4.636130e+01 6.157705e-06 3.933889e+02 5.224989e-05 3.124378e-305 4.149797e-312 
 4 5.569700e+06 7.397673e-01 9.522152e+06 1.264732e+00 8.110434e+06 1.077227e+00 9.746975e+06 1.294593e+00 8.184835e+06 1.087109e+00 9.485772e+04 1.259900e-02 9.685142e+03 1.286380e-03 9.724197e+06 1.291567e+00 3.126533e-305 4.152659e-312 
 5 5.504109e+04 7.310555e-03 1.741604e+05 2.313198e-02 5.034485e+05 6.686800e-02 9.632191e+04 1.279347e-02 5.793592e+05 7.695046e-02 8.558056e+02 1.136681e-04 4.721697e+02 6.271355e-05 8.587634e+02 1.140609e-04 1.066423e-317 0.000000e+00 
 6 2.797306e+05 3.715380e-02 7.518628e+05 9.986237e-02 0.000000e+00 0.000000e+00 4.895286e+05 6.501916e-02 4.229682e+05 5.617861e-02 4.560734e+03 6.057565e-04 0.000000e+00 0.000000e+00 4.016951e+03 5.335312e-04 1.169984e-311 1.553970e-318 
 7 3.113689e+05 4.135600e-02 7.728432e+05 1.026490e-01 0.000000e+00 0.000000e+00 5.448956e+05 7.237300e-02 4.229682e+05 5.617861e-02 4.509569e+03 5.989607e-04 0.000000e+00 0.000000e+00 1.285845e+04 1.707858e-03 3.124304e-305 4.149699e-312 
 8 2.861111e+05 3.800127e-02 7.481648e+05 9.937121e-02 0.000000e+00 0.000000e+00 5.006945e+05 6.650221e-02 4.229682e+05 5.617861e-02 4.552526e+03 6.046663e-04 0.000000e+00 0.000000e+00 6.916255e+03 9.186166e-04 0.000000e+00 0.000000e+00 
 9 2.276671e+05 3.023874e-02 7.289979e+05 9.682547e-02 0.000000e+00 0.000000e+00 3.984175e+05 5.291779e-02 4.229682e+05 5.617861e-02 4.209578e+03 5.591159e-04 0.000000e+00 0.000000e+00 3.058945e+02 4.062889e-05 3.126533e-305 4.152659e-312 
