# Channel Old_Q Old_C 1WfSliding_Q 1WfSliding_C 1WfSlidingCMN_Q 1WfSlidingCMN_C 1WfFixed_Q 1WfFixed_C 1WfFixedCMN_Q 1WfFixedCMN_C CumSliding_Q CumSliding_C CumSlidingCMN_Q CumSlidingCMN_C CumFixed_Q CumFixed_C CumFixedCMN_Q CumFixedCMN_C 
 0 3.623620e+05 6.954590e-02 7.303711e+05 1.401756e-01 3.609968e+03 6.928388e-04 6.341335e+05 1.217053e-01 5.316460e+05 1.020355e-01 1.048584e+03 2.012481e-04 6.171392e-01 1.184437e-07 5.097540e+02 9.783393e-05 5.051784e+03 9.695576e-04 
 1 3.001227e+05 5.760070e-02 6.687898e+05 1.283567e-01 2.574491e+03 4.941060e-04 5.252148e+05 1.008012e-01 5.304308e+05 1.018023e-01 5.493951e+02 1.054420e-04 7.651375e-01 1.468481e-07 3.682653e+01 7.067888e-06 5.051453e+03 9.694942e-04 
 2 3.301655e+05 6.336662e-02 6.982001e+05 1.340012e-01 2.931636e+03 5.626508e-04 5.777896e+05 1.108916e-01 5.311553e+05 1.019413e-01 8.869742e+02 1.702315e-04 1.097847e+00 2.107029e-07 1.422208e+02 2.729556e-05 5.051534e+03 9.695096e-04 
 3 3.200535e+05 6.142588e-02 6.932631e+05 1.330537e-01 8.305001e+04 1.593927e-02 5.600935e+05 1.074953e-01 8.183127e+04 1.570537e-02 6.877017e+02 1.319863e-04 2.555830e+01 4.905246e-06 7.359882e+01 1.412537e-05 1.731839e+02 3.323811e-05 
 4 1.221244e+06 2.343858e-01 2.104977e+06 4.039952e-01 2.005083e+06 3.848231e-01 2.137177e+06 4.101751e-01 1.994942e+06 3.828768e-01 2.074904e+04 3.982235e-03 8.880958e+03 1.704467e-03 2.089544e+04 4.010333e-03 8.914368e+03 1.710880e-03 
 5 4.741929e+05 9.100891e-02 8.260955e+05 1.585474e-01 9.687335e+05 1.859230e-01 8.298376e+05 1.592656e-01 9.871655e+05 1.894606e-01 7.636453e+03 1.465617e-03 3.738395e+03 7.174870e-04 7.639078e+03 1.466121e-03 3.661334e+03 7.026972e-04 
 6 3.439165e+05 6.600576e-02 7.371673e+05 1.414800e-01 1.326853e+05 2.546546e-02 6.018539e+05 1.155101e-01 1.273396e+05 2.443950e-02 6.163340e+02 1.182892e-04 1.551265e+02 2.977247e-05 1.996167e+02 3.831119e-05 2.354531e+02 4.518906e-05 
 7 3.744705e+05 7.186980e-02 7.296938e+05 1.400456e-01 0.000000e+00 0.000000e+00 6.553234e+05 1.257722e-01 5.477988e+05 1.051356e-01 8.951008e+02 1.717912e-04 0.000000e+00 0.000000e+00 5.549275e+02 1.065038e-04 5.209339e+03 9.997961e-04 
 8 3.614238e+05 6.936583e-02 7.206681e+05 1.383134e-01 0.000000e+00 0.000000e+00 6.324917e+05 1.213902e-01 5.477988e+05 1.051356e-01 9.240906e+02 1.773550e-04 0.000000e+00 0.000000e+00 4.106200e+02 7.880775e-05 5.209339e+03 9.997961e-04 
 9 3.306758e+05 6.346456e-02 6.954666e+05 1.334766e-01 0.000000e+00 0.000000e+00 5.786827e+05 1.110630e-01 5.477988e+05 1.051356e-01 8.847112e+02 1.697971e-04 0.000000e+00 0.000000e+00 1.293783e+02 2.483077e-05 5.209339e+03 9.997961e-04 
