# Channel Old_Q Old_C 1WfSliding_Q 1WfSliding_C 1WfSlidingCMN_Q 1WfSlidingCMN_C 1WfFixed_Q 1WfFixed_C 1WfFixedCMN_Q 1WfFixedCMN_C CumSliding_Q CumSliding_C CumSlidingCMN_Q CumSlidingCMN_C CumFixed_Q CumFixed_C CumFixedCMN_Q CumFixedCMN_C 
 0 2.795059e+05 5.237320e-02 5.508953e+05 1.032255e-01 4.864253e+04 9.114530e-03 4.891354e+05 9.165310e-02 2.835614e+05 5.313311e-02 2.678082e+03 5.018129e-04 1.070039e+01 2.005016e-06 9.779171e+02 1.832399e-04 3.003514e+03 5.627917e-04 
 1 2.142604e+05 4.014764e-02 4.914646e+05 9.208954e-02 2.037911e+04 3.818593e-03 3.749557e+05 7.025837e-02 2.482591e+05 4.651823e-02 2.180151e+03 4.085118e-04 8.688467e+00 1.628026e-06 2.156362e+02 4.040543e-05 2.999765e+03 5.620892e-04 
 2 2.275484e+05 4.263752e-02 4.998348e+05 9.365792e-02 2.302026e+04 4.313484e-03 3.982098e+05 7.461566e-02 2.493053e+05 4.671428e-02 2.257907e+03 4.230816e-04 8.956678e+00 1.678282e-06 3.443013e+02 6.451442e-05 2.999802e+03 5.620962e-04 
 3 2.201786e+05 4.125658e-02 4.997618e+05 9.364425e-02 4.226463e+04 7.919453e-03 3.853126e+05 7.219902e-02 2.063230e+05 3.866035e-02 2.419094e+03 4.532844e-04 2.933592e+01 5.496899e-06 2.352254e+02 4.407602e-05 1.676915e+03 3.142167e-04 
 4 2.226155e+06 4.171321e-01 3.775108e+06 7.073713e-01 2.555147e+06 4.787778e-01 3.895772e+06 7.299811e-01 2.685784e+06 5.032562e-01 3.736152e+04 7.000718e-03 9.354652e+02 1.752854e-04 3.843245e+04 7.201386e-03 2.574789e+03 4.824583e-04 
 5 5.204781e+04 9.752602e-03 1.226520e+05 2.298226e-02 2.259351e+05 4.233521e-02 9.108366e+04 1.706705e-02 3.729934e+05 6.989066e-02 5.422857e+02 1.016123e-04 5.780389e+01 1.083116e-05 1.148830e+02 2.152652e-05 1.702942e+03 3.190935e-04 
 6 2.609661e+05 4.889925e-02 5.395232e+05 1.010946e-01 4.128724e+02 7.736311e-05 4.566907e+05 8.557368e-02 4.095787e+05 7.674595e-02 2.748714e+03 5.150478e-04 0.000000e+00 0.000000e+00 5.741057e+02 1.075747e-04 4.639697e+03 8.693760e-04 
 7 2.778722e+05 5.206708e-02 5.416518e+05 1.014935e-01 2.082119e+02 3.901429e-05 4.862764e+05 9.111738e-02 4.097027e+05 7.676918e-02 2.523277e+03 4.728060e-04 0.000000e+00 0.000000e+00 7.431448e+02 1.392488e-04 4.639697e+03 8.693760e-04 
 8 2.607670e+05 4.886194e-02 5.252557e+05 9.842125e-02 1.334266e+01 2.500117e-06 4.563422e+05 8.550839e-02 4.096687e+05 7.676281e-02 2.504139e+03 4.692199e-04 0.000000e+00 0.000000e+00 6.329066e+02 1.185926e-04 4.639697e+03 8.693760e-04 
 9 2.164292e+05 4.055401e-02 4.947876e+05 9.271219e-02 0.000000e+00 0.000000e+00 3.787510e+05 7.096952e-02 4.096687e+05 7.676281e-02 2.246816e+03 4.210034e-04 0.000000e+00 0.000000e+00 2.199687e+02 4.121725e-05 4.639697e+03 8.693760e-04 
