# Channel Old_Q Old_C 1WfSliding_Q 1WfSliding_C 1WfSlidingCMN_Q 1WfSlidingCMN_C 1WfFixed_Q 1WfFixed_C 1WfFixedCMN_Q 1WfFixedCMN_C CumSliding_Q CumSliding_C CumSlidingCMN_Q CumSlidingCMN_C CumFixed_Q CumFixed_C CumFixedCMN_Q CumFixedCMN_C 
20 5.032397e+04 1.094772e-02 1.321735e+05 2.875365e-02 0.000000e+00 0.000000e+00 8.806695e+04 1.915851e-02 1.074628e+05 2.337799e-02 6.330926e+02 1.377260e-04 0.000000e+00 0.000000e+00 6.237246e+01 1.356881e-05 1.182657e+03 2.572808e-04 
21 1.210280e+05 2.632903e-02 5.776654e+05 1.256681e-01 2.306129e+04 5.016865e-03 2.117991e+05 4.607580e-02 1.129958e+05 2.458165e-02 1.009831e+03 2.196835e-04 1.418305e+00 3.085450e-07 0.000000e+00 0.000000e+00 1.039216e+03 2.260760e-04 
22 4.695683e+04 1.021522e-02 1.289210e+05 2.804609e-02 1.870494e+05 4.069163e-02 8.217445e+04 1.787663e-02 3.188617e+05 6.936672e-02 5.239760e+02 1.139883e-04 8.901494e+02 1.936474e-04 2.651544e+01 5.768296e-06 2.466348e+03 5.365413e-04 
23 2.914720e+06 6.340822e-01 5.145890e+06 1.119462e+00 4.762797e+06 1.036122e+00 5.100760e+06 1.109644e+00 4.753312e+06 1.034058e+00 5.256784e+04 1.143586e-02 4.868514e+04 1.059120e-02 5.086444e+04 1.106530e-02 4.742573e+04 1.031722e-02 
24 1.240504e+05 2.698653e-02 5.124363e+05 1.114779e-01 1.989933e+05 4.328997e-02 2.170882e+05 4.722643e-02 1.369910e+05 2.980169e-02 1.092848e+03 2.377434e-04 3.481079e+02 7.572908e-05 0.000000e+00 0.000000e+00 5.771514e+01 1.255563e-05 
25 8.276443e+04 1.800497e-02 3.710257e+05 8.071473e-02 1.090572e+04 2.372484e-03 1.448378e+05 3.150871e-02 1.066650e+05 2.320443e-02 9.552506e+02 2.078098e-04 2.742107e+00 5.965312e-07 0.000000e+00 0.000000e+00 7.928347e+02 1.724771e-04 
26 1.150017e+05 2.501803e-02 4.922439e+05 1.070851e-01 0.000000e+00 0.000000e+00 2.012530e+05 4.378155e-02 1.074628e+05 2.337799e-02 9.049749e+02 1.968726e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.182657e+03 2.572808e-04 
27 1.286708e+05 2.799168e-02 5.471659e+05 1.190331e-01 0.000000e+00 0.000000e+00 2.251740e+05 4.898544e-02 1.074628e+05 2.337799e-02 4.215864e+02 9.171395e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.182657e+03 2.572808e-04 
28 6.683384e+04 1.453936e-02 2.130891e+05 4.635642e-02 0.000000e+00 0.000000e+00 1.169592e+05 2.544387e-02 1.074628e+05 2.337799e-02 5.235620e+02 1.138982e-04 0.000000e+00 0.000000e+00 3.584270e+01 7.797394e-06 1.182657e+03 2.572808e-04 
29 5.899829e+04 1.283477e-02 1.922208e+05 4.181665e-02 0.000000e+00 0.000000e+00 1.032470e+05 2.246085e-02 1.074628e+05 2.337799e-02 5.119686e+02 1.113761e-04 0.000000e+00 0.000000e+00 2.290187e+01 4.982183e-06 1.182657e+03 2.572808e-04 
30 1.743264e+05 3.792380e-02 5.312096e+05 1.155619e-01 1.726923e+05 3.756831e-02 3.050711e+05 6.636665e-02 1.330791e+05 2.895067e-02 2.139501e+01 4.654373e-06 1.239025e+01 2.695436e-06 0.000000e+00 0.000000e+00 1.484599e+02 3.229668e-05 
31 3.154647e+05 6.862772e-02 7.663887e+05 1.667239e-01 5.909583e+05 1.285599e-01 5.520633e+05 1.200985e-01 5.451592e+05 1.185966e-01 2.893969e+04 6.295680e-03 2.560097e+03 5.569359e-04 0.000000e+00 0.000000e+00 2.418862e+03 5.262109e-04 
