# Channel Old_Q Old_C 1WfSliding_Q 1WfSliding_C 1WfSlidingCMN_Q 1WfSlidingCMN_C 1WfFixed_Q 1WfFixed_C 1WfFixedCMN_Q 1WfFixedCMN_C CumSliding_Q CumSliding_C CumSlidingCMN_Q CumSlidingCMN_C CumFixed_Q CumFixed_C CumFixedCMN_Q CumFixedCMN_C 
 0 2.905132e+05 8.792907e-02 5.491836e+05 1.662203e-01 6.338758e+04 1.918540e-02 5.083980e+05 1.538759e-01 2.566719e+05 7.768639e-02 2.932198e+03 8.874827e-04 1.330429e+01 4.026783e-06 1.447919e+03 4.382389e-04 2.191922e+03 6.634250e-04 
 1 2.153689e+05 6.518529e-02 4.758237e+05 1.440167e-01 2.770289e+04 8.384781e-03 3.768955e+05 1.140743e-01 2.104581e+05 6.369897e-02 2.134238e+03 6.459658e-04 1.063840e+01 3.219905e-06 2.988053e+02 9.043882e-05 2.187765e+03 6.621668e-04 
 2 2.311328e+05 6.995653e-02 4.876210e+05 1.475873e-01 3.113964e+04 9.424976e-03 4.044824e+05 1.224239e-01 2.131736e+05 6.452087e-02 2.194786e+03 6.642918e-04 1.033926e+01 3.129365e-06 4.857847e+02 1.470315e-04 2.187903e+03 6.622084e-04 
 3 2.221334e+05 6.723271e-02 4.876507e+05 1.475963e-01 3.035777e+04 9.188329e-03 3.887335e+05 1.176572e-01 2.409382e+05 7.292432e-02 2.297731e+03 6.954498e-04 2.238892e+01 6.776414e-06 3.351190e+02 1.014298e-04 2.093426e+03 6.336134e-04 
 4 2.061021e+06 6.238052e-01 3.462962e+06 1.048128e+00 2.081733e+06 6.300741e-01 3.606786e+06 1.091659e+00 2.267819e+06 6.863966e-01 3.366616e+04 1.018967e-02 6.470891e+02 1.958532e-04 3.486615e+04 1.055287e-02 2.719668e+03 8.231569e-04 
 5 4.972738e+04 1.505089e-02 1.151587e+05 3.485486e-02 1.841146e+05 5.572562e-02 8.702292e+04 2.633906e-02 3.775835e+05 1.142825e-01 4.684440e+02 1.417831e-04 4.000547e+01 1.210838e-05 9.154889e+01 2.770893e-05 2.109875e+03 6.385919e-04 
 6 2.634659e+05 7.974273e-02 5.303641e+05 1.605243e-01 7.168273e+02 2.169608e-04 4.610654e+05 1.395498e-01 4.147942e+05 1.255450e-01 2.770152e+03 8.384365e-04 3.433363e-01 1.039170e-07 7.840624e+02 2.373107e-04 4.215988e+03 1.276045e-03 
 7 2.890984e+05 8.750086e-02 5.438019e+05 1.645915e-01 1.983019e+02 6.001966e-05 5.059221e+05 1.531265e-01 4.152595e+05 1.256858e-01 2.755419e+03 8.339775e-04 0.000000e+00 0.000000e+00 1.090361e+03 3.300176e-04 4.254173e+03 1.287602e-03 
 8 2.683002e+05 8.120592e-02 5.221962e+05 1.580521e-01 1.099902e+02 3.329051e-05 4.695254e+05 1.421104e-01 4.151047e+05 1.256390e-01 2.774980e+03 8.398978e-04 0.000000e+00 0.000000e+00 9.605091e+02 2.907155e-04 4.254173e+03 1.287602e-03 
 9 2.160871e+05 6.540268e-02 4.797741e+05 1.452123e-01 8.186856e+01 2.477900e-05 3.781525e+05 1.144547e-01 4.150494e+05 1.256222e-01 2.188912e+03 6.625138e-04 0.000000e+00 0.000000e+00 2.874508e+02 8.700220e-05 4.254173e+03 1.287602e-03 
10 2.251473e+05 6.814492e-02 4.775861e+05 1.445501e-01 3.327895e+04 1.007248e-02 3.940078e+05 1.192536e-01 2.432158e+05 7.361367e-02 2.289603e+03 6.929897e-04 2.339645e+01 7.081360e-06 4.242301e+02 1.284009e-04 2.095574e+03 6.342634e-04 
11 7.701245e+05 2.330921e-01 1.283185e+06 3.883791e-01 7.660624e+05 2.318627e-01 1.347718e+06 4.079112e-01 9.473804e+05 2.867418e-01 1.238116e+04 3.747383e-03 2.448262e+02 7.410109e-05 1.295985e+04 3.922535e-03 2.311855e+03 6.997249e-04 
