# Channel Old_Q Old_C 1WfSliding_Q 1WfSliding_C 1WfSlidingCMN_Q 1WfSlidingCMN_C 1WfFixed_Q 1WfFixed_C 1WfFixedCMN_Q 1WfFixedCMN_C CumSliding_Q CumSliding_C CumSlidingCMN_Q CumSlidingCMN_C CumFixed_Q CumFixed_C CumFixedCMN_Q CumFixedCMN_C 
 0 2.494876e+05 4.630270e-02 5.914839e+05 1.097742e-01 2.901867e+04 5.385609e-03 4.366033e+05 8.102973e-02 2.768213e+05 5.137559e-02 3.844366e+03 7.134805e-04 6.456781e+00 1.198322e-06 3.043456e+02 5.648386e-05 2.417717e+03 4.487069e-04 
 1 1.809688e+05 3.358621e-02 5.365589e+05 9.958059e-02 9.658015e+03 1.792442e-03 3.166954e+05 5.877587e-02 2.559893e+05 4.750936e-02 3.287985e+03 6.102211e-04 4.432423e+00 8.226187e-07 2.691967e+01 4.996053e-06 2.415585e+03 4.483113e-04 
 2 1.950322e+05 3.619625e-02 5.492732e+05 1.019403e-01 1.177921e+04 2.186118e-03 3.413063e+05 6.334343e-02 2.563799e+05 4.758185e-02 3.441548e+03 6.387210e-04 4.716621e+00 8.753632e-07 4.865129e+01 9.029250e-06 2.415646e+03 4.483225e-04 
 3 1.879616e+05 3.488402e-02 5.512212e+05 1.023018e-01 5.484192e+04 1.017818e-02 3.289329e+05 6.104704e-02 1.602773e+05 2.974606e-02 3.534587e+03 6.559882e-04 3.371196e+01 6.256642e-06 3.224153e+01 5.983744e-06 8.625704e+02 1.600855e-04 
 4 3.236715e+06 6.007057e-01 5.518377e+06 1.024162e+00 4.490182e+06 8.333382e-01 5.664251e+06 1.051235e+00 4.527447e+06 8.402542e-01 5.688134e+04 1.055667e-02 2.975527e+03 5.522315e-04 5.822006e+04 1.080513e-02 3.765792e+03 6.988979e-04 
 5 4.483126e+04 8.320286e-03 1.314670e+05 2.439911e-02 3.148515e+05 5.843367e-02 7.845470e+04 1.456050e-02 4.017816e+05 7.456712e-02 6.642775e+02 1.232840e-04 1.669908e+02 3.099202e-05 1.723284e+01 3.198264e-06 9.526681e+02 1.768068e-04 
 6 2.365256e+05 4.389707e-02 5.892714e+05 1.093636e-01 1.953865e+02 3.626202e-05 4.139199e+05 7.681987e-02 3.583136e+05 6.649985e-02 4.111072e+03 7.629786e-04 0.000000e+00 0.000000e+00 1.672888e+02 3.104733e-05 3.240820e+03 6.014676e-04 
 7 2.475031e+05 4.593439e-02 5.827663e+05 1.081563e-01 0.000000e+00 0.000000e+00 4.331304e+05 8.038518e-02 3.585720e+05 6.654780e-02 3.888700e+03 7.217084e-04 0.000000e+00 0.000000e+00 2.062860e+02 3.828486e-05 3.240820e+03 6.014676e-04 
 8 2.310124e+05 4.287387e-02 5.678931e+05 1.053959e-01 0.000000e+00 0.000000e+00 4.042717e+05 7.502927e-02 3.585720e+05 6.654780e-02 3.821767e+03 7.092862e-04 0.000000e+00 0.000000e+00 1.499226e+02 2.782431e-05 3.240820e+03 6.014676e-04 
 9 1.826795e+05 3.390370e-02 5.440217e+05 1.009656e-01 0.000000e+00 0.000000e+00 3.196891e+05 5.933148e-02 3.585720e+05 6.654780e-02 3.331203e+03 6.182419e-04 0.000000e+00 0.000000e+00 2.519912e+01 4.676735e-06 3.240820e+03 6.014676e-04 
