# Channel Old_Q Old_C 1WfSliding_Q 1WfSliding_C 1WfSlidingCMN_Q 1WfSlidingCMN_C 1WfFixed_Q 1WfFixed_C 1WfFixedCMN_Q 1WfFixedCMN_C CumSliding_Q CumSliding_C CumSlidingCMN_Q CumSlidingCMN_C CumFixed_Q CumFixed_C CumFixedCMN_Q CumFixedCMN_C 
 0 4.006689e+05 9.517957e-02 7.010868e+05 1.665444e-01 1.866288e+05 4.433400e-02 7.011705e+05 1.665642e-01 1.967814e+05 4.674575e-02 8.737008e+02 2.075491e-04 6.020891e+02 1.430273e-04 1.210995e+03 2.876739e-04 1.245606e+03 2.958958e-04 
 1 1.929964e+06 4.584662e-01 3.369280e+06 8.003783e-01 3.126224e+06 7.426398e-01 3.377437e+06 8.023158e-01 3.125787e+06 7.425360e-01 3.394144e+04 8.062847e-03 3.077346e+04 7.310288e-03 3.408502e+04 8.096954e-03 3.079166e+04 7.314612e-03 
 2 4.394428e+05 1.043904e-01 6.957319e+05 1.652723e-01 2.260041e+05 5.368767e-02 7.690249e+05 1.826832e-01 2.798874e+05 6.648774e-02 1.289541e+03 3.063325e-04 2.217652e+03 5.268070e-04 2.319708e+03 5.510506e-04 2.446283e+03 5.811187e-04 
 3 3.627708e+05 8.617683e-02 6.626344e+05 1.574099e-01 2.653104e+01 6.302494e-06 6.348490e+05 1.508094e-01 5.056876e+05 1.201269e-01 5.596918e+02 1.329557e-04 0.000000e+00 0.000000e+00 4.517999e+02 1.073258e-04 5.104219e+03 1.212516e-03 
 4 3.220468e+05 7.650277e-02 6.135152e+05 1.457416e-01 0.000000e+00 0.000000e+00 5.635820e+05 1.338799e-01 5.056928e+05 1.201282e-01 3.875154e+02 9.205495e-05 0.000000e+00 0.000000e+00 2.377795e+02 5.648492e-05 5.104219e+03 1.212516e-03 
 5 9.819512e+04 2.332642e-02 2.144930e+05 5.095318e-02 2.375164e+01 5.642243e-06 1.718415e+05 4.082123e-02 5.051802e+05 1.200064e-01 3.757831e+01 8.926791e-06 0.000000e+00 0.000000e+00 1.070025e+01 2.541863e-06 5.104219e+03 1.212516e-03 
 6 3.315184e+05 7.875277e-02 6.554014e+05 1.556917e-01 1.034612e+02 2.457739e-05 5.801573e+05 1.378173e-01 5.051832e+05 1.200071e-01 2.528546e+02 6.006603e-05 0.000000e+00 0.000000e+00 1.206089e+02 2.865084e-05 5.104219e+03 1.212516e-03 
 7 3.987943e+05 9.473426e-02 6.853090e+05 1.627963e-01 6.903482e+01 1.639934e-05 6.978900e+05 1.657850e-01 5.051954e+05 1.200100e-01 7.580453e+02 1.800749e-04 0.000000e+00 0.000000e+00 9.525876e+02 2.262888e-04 5.104219e+03 1.212516e-03 
 8 3.879040e+05 9.214724e-02 6.757724e+05 1.605309e-01 6.509953e+01 1.546450e-05 6.788319e+05 1.612577e-01 5.051835e+05 1.200072e-01 7.422489e+02 1.763225e-04 0.000000e+00 0.000000e+00 8.119668e+02 1.928841e-04 5.104219e+03 1.212516e-03 
 9 3.773442e+05 8.963875e-02 6.558616e+05 1.558010e-01 1.552403e+01 3.687760e-06 6.603523e+05 1.568678e-01 5.051745e+05 1.200051e-01 7.046798e+02 1.673979e-04 0.000000e+00 0.000000e+00 6.922503e+02 1.644452e-04 5.104219e+03 1.212516e-03 
10 3.674983e+05 8.729983e-02 6.471984e+05 1.537431e-01 1.862949e+01 4.425468e-06 6.431219e+05 1.527747e-01 5.051745e+05 1.200051e-01 6.543341e+02 1.554382e-04 0.000000e+00 0.000000e+00 5.722714e+02 1.359440e-04 5.104219e+03 1.212516e-03 
11 2.182872e+05 5.185448e-02 4.561754e+05 1.083652e-01 4.910906e+00 1.166594e-06 3.820025e+05 9.074535e-02 5.051802e+05 1.200064e-01 3.255393e+02 7.733240e-05 0.000000e+00 0.000000e+00 1.888435e+02 4.486008e-05 5.104219e+03 1.212516e-03 
12 3.626396e+05 8.614565e-02 6.471650e+05 1.537351e-01 8.229720e+00 1.954984e-06 6.346193e+05 1.507549e-01 5.056985e+05 1.201295e-01 6.876832e+02 1.633603e-04 0.000000e+00 0.000000e+00 5.799826e+02 1.377758e-04 5.104219e+03 1.212516e-03 
13 3.871118e+05 9.195906e-02 6.695371e+05 1.590497e-01 1.439578e+05 3.419742e-02 6.774456e+05 1.609284e-01 2.069382e+05 4.915852e-02 9.214691e+02 2.188965e-04 1.142562e+02 2.714176e-05 1.054646e+03 2.505331e-04 6.385581e+02 1.516906e-04 
14 1.002137e+06 2.380592e-01 1.623361e+06 3.856321e-01 1.529489e+06 3.633326e-01 1.753739e+06 4.166037e-01 1.544793e+06 3.669681e-01 1.631338e+04 3.875272e-03 1.499787e+04 3.562770e-03 1.656309e+04 3.934589e-03 1.519161e+04 3.608793e-03 
15 1.122935e+06 2.667551e-01 1.507146e+06 3.580250e-01 1.498420e+06 3.559522e-01 1.965136e+06 4.668215e-01 1.734736e+06 4.120895e-01 1.699547e+04 4.037304e-03 1.610243e+04 3.825160e-03 1.862406e+04 4.424176e-03 1.701425e+04 4.041764e-03 
