# Channel Old_Q Old_C 1WfSliding_Q 1WfSliding_C 1WfSlidingCMN_Q 1WfSlidingCMN_C 1WfFixed_Q 1WfFixed_C 1WfFixedCMN_Q 1WfFixedCMN_C CumSliding_Q CumSliding_C CumSlidingCMN_Q CumSlidingCMN_C CumFixed_Q CumFixed_C CumFixedCMN_Q CumFixedCMN_C 
 0 4.207259e+05 1.012196e-01 6.563578e+05 1.579087e-01 1.425774e+05 3.430175e-02 7.362703e+05 1.771343e-01 1.789223e+05 4.304571e-02 2.020481e+03 4.860940e-04 1.415255e+02 3.404866e-05 3.414064e+03 8.213667e-04 5.096611e+02 1.226159e-04 
 1 3.623202e+05 8.716818e-02 5.800340e+05 1.395465e-01 8.071612e+04 1.941895e-02 6.340604e+05 1.525443e-01 9.502706e+04 2.286192e-02 1.194790e+03 2.874466e-04 3.358602e+01 8.080233e-06 1.697776e+03 4.084565e-04 3.378449e+02 8.127984e-05 
 2 4.003837e+05 9.632562e-02 6.145009e+05 1.478386e-01 9.665355e+04 2.325323e-02 7.006715e+05 1.685698e-01 1.402202e+05 3.373465e-02 2.016954e+03 4.852454e-04 5.508949e+01 1.325361e-05 2.758935e+03 6.637536e-04 4.043901e+02 9.728950e-05 
 3 3.762835e+05 9.052752e-02 5.979082e+05 1.438467e-01 8.155931e+02 1.962181e-04 6.584961e+05 1.584232e-01 5.779690e+05 1.390497e-01 1.431004e+03 3.442756e-04 3.427283e-01 8.245468e-08 1.915632e+03 4.608689e-04 5.596735e+03 1.346481e-03 
 4 3.311952e+05 7.968002e-02 5.597524e+05 1.346671e-01 9.067552e+02 2.181501e-04 5.795916e+05 1.394400e-01 5.792904e+05 1.393676e-01 7.532134e+02 1.812105e-04 1.614569e-01 3.884383e-08 1.251432e+03 3.010737e-04 5.637159e+03 1.356206e-03 
 5 1.202991e+05 2.894195e-02 2.212213e+05 5.322214e-02 1.382079e+04 3.325050e-03 2.105234e+05 5.064841e-02 5.618388e+05 1.351690e-01 9.934298e+01 2.390026e-05 1.435575e+00 3.453754e-07 3.174956e+02 7.638414e-05 5.420127e+03 1.303992e-03 
 6 3.642829e+05 8.764038e-02 6.161617e+05 1.482382e-01 5.706958e+03 1.372999e-03 6.374952e+05 1.533707e-01 5.420488e+05 1.304079e-01 1.040938e+03 2.504323e-04 1.170251e+00 2.815429e-07 1.509947e+03 3.632681e-04 5.320446e+03 1.280010e-03 
 7 4.451311e+05 1.070911e-01 6.819049e+05 1.640549e-01 6.968532e+03 1.676512e-03 7.789794e+05 1.874094e-01 5.483570e+05 1.319255e-01 2.376638e+03 5.717793e-04 1.092585e+00 2.628578e-07 3.843407e+03 9.246595e-04 5.320629e+03 1.280054e-03 
 8 4.917249e+05 1.183008e-01 7.246070e+05 1.743283e-01 1.142782e+04 2.749341e-03 8.605186e+05 2.070264e-01 5.544595e+05 1.333937e-01 4.946171e+03 1.189966e-03 1.252467e+00 3.013225e-07 5.263556e+03 1.266324e-03 5.321022e+03 1.280149e-03 
 9 4.897399e+05 1.178232e-01 7.101351e+05 1.708466e-01 1.447906e+04 3.483420e-03 8.570449e+05 2.061907e-01 5.547911e+05 1.334734e-01 5.079836e+03 1.222124e-03 1.343697e+00 3.232710e-07 5.231155e+03 1.258528e-03 5.321115e+03 1.280171e-03 
10 3.877469e+05 9.328541e-02 6.055692e+05 1.456898e-01 3.448653e+03 8.296883e-04 6.785571e+05 1.632495e-01 5.478183e+05 1.317959e-01 1.623226e+03 3.905210e-04 8.843028e-01 2.127485e-07 2.345116e+03 5.641956e-04 5.399661e+03 1.299068e-03 
11 2.268107e+05 5.456686e-02 4.234196e+05 1.018677e-01 7.719335e+03 1.857143e-03 3.969187e+05 9.549201e-02 5.693964e+05 1.369872e-01 4.866806e+02 1.170872e-04 1.594827e+00 3.836888e-07 8.568711e+02 2.061489e-04 5.507773e+03 1.325078e-03 
12 3.756120e+05 9.036596e-02 5.926524e+05 1.425823e-01 7.343313e+02 1.766678e-04 6.573210e+05 1.581404e-01 5.782854e+05 1.391258e-01 1.466855e+03 3.529008e-04 3.022460e-01 7.271532e-08 2.179847e+03 5.244348e-04 5.596773e+03 1.346490e-03 
13 3.950780e+05 9.504917e-02 6.116235e+05 1.471464e-01 8.571107e+02 2.062065e-04 6.913866e+05 1.663360e-01 5.783260e+05 1.391355e-01 1.967309e+03 4.733017e-04 4.065799e-01 9.781632e-08 2.777190e+03 6.681454e-04 5.596810e+03 1.346499e-03 
14 4.178945e+05 1.005384e-01 6.384495e+05 1.536003e-01 1.430735e+05 3.442109e-02 7.313154e+05 1.759422e-01 1.876470e+05 4.514472e-02 2.423857e+03 5.831395e-04 1.584342e+02 3.811661e-05 3.506756e+03 8.436668e-04 5.218837e+02 1.255565e-04 
15 6.436063e+05 1.548409e-01 9.061695e+05 2.180092e-01 4.494751e+05 1.081362e-01 1.126311e+06 2.709716e-01 6.521937e+05 1.569069e-01 5.581245e+03 1.342754e-03 6.496623e+02 1.562979e-04 8.944557e+03 2.151911e-03 1.329295e+03 3.198062e-04 
16 1.234810e+05 2.970745e-02 3.977645e+05 9.569549e-02 1.404999e+05 3.380192e-02 2.160917e+05 5.198804e-02 1.350852e+05 3.249925e-02 0.000000e+00 0.000000e+00 1.177874e+01 2.833769e-06 0.000000e+00 0.000000e+00 1.511173e+02 3.635630e-05 
17 1.039392e+05 2.500604e-02 4.413481e+05 1.061810e-01 1.453564e+05 3.497031e-02 1.818936e+05 4.376056e-02 8.578391e+04 2.063817e-02 2.745400e+01 6.604973e-06 2.110946e+01 5.078584e-06 0.000000e+00 0.000000e+00 2.123392e+02 5.108526e-05 
18 1.044848e+05 2.513730e-02 4.538478e+05 1.091882e-01 2.240064e+02 5.389219e-05 1.828484e+05 4.399027e-02 1.133925e+05 2.728033e-02 4.996101e+01 1.201978e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.102151e+03 2.651590e-04 
19 5.361522e+04 1.289892e-02 1.060637e+05 2.551715e-02 1.849234e+01 4.448948e-06 9.382663e+04 2.257312e-02 1.133932e+05 2.728050e-02 9.016703e+00 2.169268e-06 0.000000e+00 0.000000e+00 1.132241e+01 2.723983e-06 1.102151e+03 2.651590e-04 
20 6.570987e+04 1.580869e-02 1.148974e+05 2.764239e-02 7.369227e+01 1.772913e-05 1.149923e+05 2.766522e-02 1.134532e+05 2.729495e-02 1.336513e+01 3.215428e-06 0.000000e+00 0.000000e+00 8.895497e+01 2.140108e-05 1.102151e+03 2.651590e-04 
21 1.249377e+05 3.005792e-02 4.982691e+05 1.198752e-01 2.550338e+04 6.135686e-03 2.186409e+05 5.260135e-02 1.149504e+05 2.765514e-02 9.826710e+01 2.364142e-05 6.010450e+00 1.446014e-06 0.000000e+00 0.000000e+00 9.440384e+02 2.271199e-04 
22 6.081733e+04 1.463163e-02 1.139217e+05 2.740766e-02 2.891331e+05 6.956058e-02 1.064303e+05 2.560536e-02 4.092138e+05 9.845000e-02 1.130255e+01 2.719204e-06 1.826836e+02 4.395062e-05 3.299236e+01 7.937411e-06 4.294170e+02 1.033105e-04 
23 5.927969e+05 1.426170e-01 1.044509e+06 2.512915e-01 1.160431e+06 2.791803e-01 1.037395e+06 2.495798e-01 1.114223e+06 2.680634e-01 8.898077e+03 2.140729e-03 5.411762e+03 1.301979e-03 7.530693e+03 1.811759e-03 5.192648e+03 1.249264e-03 
24 4.452947e+05 1.071305e-01 7.503399e+05 1.805192e-01 8.270393e+05 1.989718e-01 7.792657e+05 1.874783e-01 8.349668e+05 2.008790e-01 5.056057e+03 1.216403e-03 3.837154e+03 9.231551e-04 4.401934e+03 1.059032e-03 3.895301e+03 9.371443e-04 
25 1.171998e+05 2.819632e-02 3.511930e+05 8.449117e-02 6.338029e+04 1.524824e-02 2.050997e+05 4.934356e-02 1.578497e+05 3.797600e-02 1.142484e+02 2.748625e-05 1.106252e+01 2.661458e-06 0.000000e+00 0.000000e+00 9.385641e+02 2.258028e-04 
26 1.386734e+05 3.336250e-02 4.533006e+05 1.090565e-01 3.198584e+04 7.695257e-03 2.426785e+05 5.838438e-02 1.205973e+05 2.901368e-02 1.648492e+02 3.965995e-05 3.815534e+00 9.179538e-07 0.000000e+00 0.000000e+00 9.574451e+02 2.303453e-04 
27 1.109132e+05 2.668386e-02 5.094081e+05 1.225551e-01 8.370449e+03 2.013790e-03 1.940981e+05 4.669676e-02 1.101419e+05 2.649829e-02 7.890721e+01 1.898376e-05 1.333406e+00 3.207952e-07 0.000000e+00 0.000000e+00 1.026249e+03 2.468982e-04 
