# Channel Old_Q Old_C 1WfSliding_Q 1WfSliding_C 1WfSlidingCMN_Q 1WfSlidingCMN_C 1WfFixed_Q 1WfFixed_C 1WfFixedCMN_Q 1WfFixedCMN_C CumSliding_Q CumSliding_C CumSlidingCMN_Q CumSlidingCMN_C CumFixed_Q CumFixed_C CumFixedCMN_Q CumFixedCMN_C 
 0 2.446224e+05 4.976710e-02 5.491763e+05 1.117269e-01 2.449817e+04 4.984019e-03 4.280892e+05 8.709242e-02 2.836870e+05 5.771457e-02 3.146414e+03 6.401207e-04 5.071832e+00 1.031837e-06 3.448397e+02 7.015576e-05 3.081713e+03 6.269578e-04 
 1 1.820729e+05 3.704175e-02 5.002004e+05 1.017630e-01 7.299919e+03 1.485129e-03 3.186277e+05 6.482306e-02 2.639699e+05 5.370323e-02 2.795088e+03 5.686454e-04 3.906836e+00 7.948244e-07 2.958166e+01 6.018227e-06 3.080115e+03 6.266325e-04 
 2 1.956016e+05 3.979408e-02 5.138775e+05 1.045456e-01 9.002762e+03 1.831563e-03 3.423028e+05 6.963963e-02 2.641565e+05 5.374121e-02 2.768446e+03 5.632251e-04 4.434913e+00 9.022588e-07 6.641343e+01 1.351145e-05 3.080653e+03 6.267420e-04 
 3 1.886972e+05 3.838942e-02 5.147211e+05 1.047172e-01 5.820696e+04 1.184189e-02 3.302201e+05 6.718148e-02 1.412660e+05 2.873981e-02 2.964155e+03 6.030413e-04 3.769074e+01 7.667976e-06 3.998663e+01 8.135062e-06 4.804254e+02 9.773993e-05 
 4 3.548513e+06 7.219256e-01 6.064050e+06 1.233698e+00 5.031851e+06 1.023703e+00 6.209898e+06 1.263370e+00 5.063705e+06 1.030183e+00 6.019886e+04 1.224713e-02 4.029439e+03 8.197675e-04 6.141117e+04 1.249377e-02 4.437552e+03 9.027958e-04 
 5 4.394782e+04 8.940945e-03 1.231730e+05 2.505888e-02 3.082650e+05 6.271482e-02 7.690869e+04 1.564665e-02 3.715100e+05 7.558168e-02 6.204009e+02 1.262172e-04 1.650787e+02 3.358436e-05 2.836979e+01 5.771679e-06 5.620442e+02 1.143448e-04 
 6 2.213479e+05 4.503202e-02 5.320908e+05 1.082510e-01 0.000000e+00 0.000000e+00 3.873588e+05 7.880603e-02 3.402644e+05 6.922495e-02 3.019623e+03 6.143258e-04 0.000000e+00 0.000000e+00 1.197747e+02 2.436751e-05 3.514708e+03 7.150481e-04 
 7 2.444174e+05 4.972540e-02 5.481212e+05 1.115123e-01 0.000000e+00 0.000000e+00 4.277305e+05 8.701944e-02 3.402644e+05 6.922495e-02 3.062564e+03 6.230620e-04 0.000000e+00 0.000000e+00 2.551846e+02 5.191591e-05 3.514708e+03 7.150481e-04 
 8 2.254828e+05 4.587325e-02 5.251972e+05 1.068485e-01 0.000000e+00 0.000000e+00 3.945949e+05 8.027818e-02 3.402644e+05 6.922495e-02 3.095817e+03 6.298270e-04 0.000000e+00 0.000000e+00 1.699157e+02 3.456843e-05 3.514708e+03 7.150481e-04 
 9 1.826042e+05 3.714984e-02 5.090885e+05 1.035713e-01 0.000000e+00 0.000000e+00 3.195574e+05 6.501221e-02 3.402644e+05 6.922495e-02 2.773854e+03 5.643255e-04 0.000000e+00 0.000000e+00 3.223037e+01 6.557094e-06 3.514708e+03 7.150481e-04 
10 1.912054e+05 3.889969e-02 5.037440e+05 1.024840e-01 6.145079e+04 1.250183e-02 3.346094e+05 6.807446e-02 1.420068e+05 2.889052e-02 2.856996e+03 5.812402e-04 4.085264e+01 8.311247e-06 5.483586e+01 1.115606e-05 4.858982e+02 9.885335e-05 
11 6.346930e+05 1.291248e-01 1.053914e+06 2.144130e-01 1.002185e+06 2.038892e-01 1.110713e+06 2.259684e-01 1.035684e+06 2.107043e-01 1.027008e+04 2.089391e-03 8.097543e+02 1.647401e-04 1.075703e+04 2.188458e-03 1.214028e+03 2.469874e-04 
12 4.914790e+05 9.998873e-02 6.419232e+05 1.305958e-01 6.604946e+05 1.343740e-01 8.600883e+05 1.749803e-01 7.122392e+05 1.449012e-01 4.652289e+03 9.464829e-04 5.309844e+02 1.080259e-04 7.119083e+03 1.448339e-03 9.630659e+02 1.959305e-04 
13 2.232108e+05 4.541102e-02 5.254823e+05 1.069065e-01 8.130010e+04 1.654006e-02 3.906189e+05 7.946929e-02 1.667479e+05 3.392395e-02 3.062507e+03 6.230503e-04 4.750878e+01 9.665403e-06 2.280206e+02 4.638955e-05 5.069409e+02 1.031344e-04 
14 2.905943e+05 5.911983e-02 5.974812e+05 1.215543e-01 4.110897e+04 8.363395e-03 5.085401e+05 1.034597e-01 3.080672e+05 6.267459e-02 3.674407e+03 7.475380e-04 6.208809e+00 1.263148e-06 9.313370e+02 1.894754e-04 3.083313e+03 6.272833e-04 
15 6.852182e+05 1.394039e-01 1.087200e+06 2.211850e-01 1.652903e+05 3.362740e-02 1.199132e+06 2.439568e-01 4.547914e+05 9.252484e-02 7.598309e+03 1.545835e-03 1.493972e+01 3.039405e-06 6.341268e+03 1.290096e-03 3.095038e+03 6.296686e-04 
16 2.220722e+06 4.517939e-01 3.962162e+06 8.060803e-01 3.699900e+06 7.527244e-01 3.886264e+06 7.906393e-01 3.625367e+06 7.375611e-01 4.035001e+04 8.208990e-03 3.791058e+04 7.712700e-03 3.696434e+04 7.520194e-03 3.528258e+04 7.178048e-03 
17 1.684766e+05 3.427565e-02 5.651752e+05 1.149818e-01 2.430286e+05 4.944285e-02 2.948341e+05 5.998239e-02 1.851638e+05 3.767056e-02 2.146067e+02 4.366057e-05 3.837955e+01 7.808110e-06 0.000000e+00 0.000000e+00 1.403354e+02 2.855046e-05 
