# Channel Old_Q Old_C 1WfSliding_Q 1WfSliding_C 1WfSlidingCMN_Q 1WfSlidingCMN_C 1WfFixed_Q 1WfFixed_C 1WfFixedCMN_Q 1WfFixedCMN_C CumSliding_Q CumSliding_C CumSlidingCMN_Q CumSlidingCMN_C CumFixed_Q CumFixed_C CumFixedCMN_Q CumFixedCMN_C 
 0 3.827042e+05 7.644724e-02 8.096149e+05 1.617250e-01 6.428101e+03 1.284048e-03 6.697324e+05 1.337827e-01 4.897746e+05 9.783512e-02 1.294435e+03 2.585703e-04 2.355831e+00 4.705901e-07 4.810633e+04 9.609500e-03 3.411532e-305 6.814720e-312 
 1 3.113018e+05 6.218423e-02 7.241662e+05 1.446561e-01 4.459042e+03 8.907178e-04 5.447782e+05 1.088224e-01 4.881185e+05 9.750431e-02 5.539621e+02 1.106569e-04 2.641175e+00 5.275890e-07 2.098165e+03 4.191197e-04 5.817801e-318 0.000000e+00 
 2 4.448996e+05 8.887111e-02 7.900391e+05 1.578146e-01 2.991740e+05 5.976162e-02 7.785743e+05 1.555244e-01 3.285492e+05 6.562949e-02 1.763427e+03 3.522541e-04 2.920342e+03 5.833541e-04 1.784503e+05 3.564642e-02 1.551414e-317 4.940656e-324 
 3 2.766010e+06 5.525254e-01 4.860845e+06 9.709801e-01 4.463584e+06 8.916252e-01 4.840517e+06 9.669195e-01 4.465119e+06 8.919317e-01 4.942073e+04 9.872057e-03 1.504998e+04 3.006314e-03 4.827248e+06 9.642690e-01 3.403172e-305 6.798021e-312 
 4 3.171930e+05 6.336102e-02 7.012375e+05 1.400760e-01 1.126383e+05 2.250011e-02 5.550877e+05 1.108818e-01 1.362762e+05 2.722191e-02 4.737095e+02 9.462605e-05 7.231291e+01 1.444489e-05 5.676442e+03 1.133900e-03 3.411532e-305 6.814720e-312 
 5 9.036630e+04 1.805116e-02 2.412619e+05 4.819337e-02 4.434229e+01 8.857612e-06 1.581410e+05 3.158952e-02 5.127317e+05 1.024209e-01 5.425490e+01 1.083771e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.163560e-317 0.000000e+00 
 6 3.327366e+05 6.646594e-02 7.670442e+05 1.532212e-01 3.160077e+01 6.312425e-06 5.822891e+05 1.163154e-01 5.127266e+05 1.024199e-01 3.683464e+02 7.357918e-05 0.000000e+00 0.000000e+00 4.388767e+03 8.766799e-04 7.299599e-312 1.458136e-318 
 7 3.961958e+05 7.914227e-02 8.152510e+05 1.628508e-01 2.334543e+01 4.663377e-06 6.933427e+05 1.384990e-01 5.127266e+05 1.024199e-01 1.248008e+03 2.492964e-04 0.000000e+00 0.000000e+00 5.378979e+04 1.074480e-02 3.403161e-305 6.797999e-312 
 8 3.832420e+05 7.655466e-02 8.010693e+05 1.600179e-01 1.706402e+01 3.408630e-06 6.706735e+05 1.339707e-01 5.127266e+05 1.024199e-01 1.164460e+03 2.326072e-04 0.000000e+00 0.000000e+00 4.059832e+04 8.109735e-03 0.000000e+00 0.000000e+00 
 9 3.373544e+05 6.738837e-02 7.452083e+05 1.488594e-01 1.360585e+01 2.717842e-06 5.903702e+05 1.179296e-01 5.127266e+05 1.024199e-01 7.532689e+02 1.504695e-04 0.000000e+00 0.000000e+00 6.790282e+03 1.356396e-03 3.411532e-305 6.814720e-312 
