# Channel Old_Q Old_C 1WfSliding_Q 1WfSliding_C 1WfSlidingCMN_Q 1WfSlidingCMN_C 1WfFixed_Q 1WfFixed_C 1WfFixedCMN_Q 1WfFixedCMN_C CumSliding_Q CumSliding_C CumSlidingCMN_Q CumSlidingCMN_C CumFixed_Q CumFixed_C CumFixedCMN_Q CumFixedCMN_C 
 0 3.927722e+05 8.426809e-02 7.317640e+05 1.569977e-01 2.064246e+05 4.428777e-02 6.873514e+05 1.474691e-01 2.122631e+05 4.554040e-02 1.008169e+03 2.162995e-04 7.153839e+02 1.534834e-04 9.541027e+02 2.046998e-04 1.348554e+03 2.893281e-04 
 1 9.666691e+05 2.073959e-01 1.605461e+06 3.444469e-01 1.505025e+06 3.228986e-01 1.691671e+06 3.629428e-01 1.505526e+06 3.230061e-01 1.530318e+04 3.283250e-03 1.476898e+04 3.168640e-03 1.543658e+04 3.311872e-03 1.482314e+04 3.180259e-03 
 2 9.303521e+05 1.996042e-01 1.488804e+06 3.194183e-01 1.415225e+06 3.036323e-01 1.628116e+06 3.493074e-01 1.430009e+06 3.068040e-01 1.434916e+04 3.078568e-03 1.388871e+04 2.979781e-03 1.460347e+04 3.133131e-03 1.407547e+04 3.019850e-03 
 3 3.553670e+05 7.624290e-02 6.839669e+05 1.467430e-01 1.450756e+05 3.112554e-02 6.218922e+05 1.334251e-01 1.603480e+05 3.440217e-02 6.071721e+02 1.302669e-04 6.992460e+01 1.500211e-05 2.971781e+02 6.375867e-05 5.057614e+02 1.085096e-04 
 4 3.104015e+05 6.659570e-02 6.323871e+05 1.356767e-01 0.000000e+00 0.000000e+00 5.432026e+05 1.165425e-01 4.819403e+05 1.033988e-01 3.657225e+02 7.846464e-05 0.000000e+00 0.000000e+00 1.185294e+02 2.543012e-05 4.619913e+03 9.911882e-04 
 5 9.363581e+04 2.008928e-02 2.189497e+05 4.697500e-02 4.492628e+01 9.638796e-06 1.638627e+05 3.515624e-02 4.816610e+05 1.033389e-01 3.108509e+01 6.669212e-06 0.000000e+00 0.000000e+00 7.620108e+00 1.634871e-06 4.597151e+03 9.863048e-04 
 6 3.324457e+05 7.132521e-02 6.906984e+05 1.481872e-01 1.079526e+02 2.316090e-05 5.817799e+05 1.248191e-01 4.816460e+05 1.033357e-01 2.562645e+02 5.498078e-05 0.000000e+00 0.000000e+00 1.034461e+02 2.219404e-05 4.597151e+03 9.863048e-04 
 7 3.991237e+05 8.563077e-02 7.251151e+05 1.555712e-01 3.996026e+01 8.573353e-06 6.984664e+05 1.498538e-01 4.816464e+05 1.033358e-01 9.435810e+02 2.024424e-04 0.000000e+00 0.000000e+00 8.830838e+02 1.894630e-04 4.597151e+03 9.863048e-04 
 8 3.876938e+05 8.317853e-02 7.126460e+05 1.528960e-01 4.601000e+01 9.871306e-06 6.784642e+05 1.455624e-01 4.816402e+05 1.033344e-01 8.894834e+02 1.908360e-04 0.000000e+00 0.000000e+00 7.308356e+02 1.567986e-04 4.597151e+03 9.863048e-04 
 9 3.639063e+05 7.807500e-02 6.786244e+05 1.455968e-01 4.234327e+01 9.084619e-06 6.368361e+05 1.366312e-01 4.816432e+05 1.033351e-01 7.412228e+02 1.590271e-04 0.000000e+00 0.000000e+00 4.108062e+02 8.813722e-05 4.597151e+03 9.863048e-04 
