0 12 17 30 290.861
0 13 18 11 327.342
0 14 18 23 281.888
0 15 19 3 276.287
0 16 19 15 302.567
1 9 16 21 241.262
1 10 17 3 284.651
1 11 17 17 251.645
1 12 17 31 239.484
1 13 18 12 280.417
1 14 18 24 292.41
1 15 19 4 280.578
1 16 19 16 288.013
1 17 19 27 267.943
1 18 20 10 251.176
1 19 20 23 342.863
2 7 15 28 250.876
2 8 16 8 261.904
2 9 16 22 306.184
2 10 17 4 250.094
2 11 17 18 275.155
2 12 18 1 290.52
2 13 18 13 284.803
2 14 18 25 246.569
2 15 19 5 248.955
2 16 19 17 268.03
2 17 19 28 341.131
2 18 20 11 237.856
2 19 20 24 260.094
2 20 21 6 270.685
2 21 21 18 290.336
3 5 15 5 284.123
3 6 15 16 280.229
3 7 15 29 256.786
3 8 16 9 258.034
3 9 16 23 248.405
3 10 17 5 262.676
3 11 17 19 227.602
3 12 18 2 363.487
3 13 18 14 258.818
3 14 18 26 224.807
3 15 19 6 330.988
3 16 19 18 309.739
3 17 19 29 279.969
3 18 20 12 257.211
3 19 20 25 297.692
3 20 21 7 290.115
3 21 21 19 315.057
3 22 22 0 304.395
3 23 22 11 241.339
4 4 14 25 255.399
4 5 15 6 380.866
4 6 15 17 255.637
4 7 15 30 237.075
4 8 16 10 232.11
4 9 16 24 234.855
4 10 17 6 233.205
4 11 17 20 261.801
4 12 18 3 253.325
4 13 18 15 249.194
4 14 18 27 254.476
4 15 19 7 262.762
4 16 19 19 325.519
4 17 19 30 274.103
4 18 20 13 269.825
4 19 20 26 292.729
4 20 21 8 311.37
4 21 21 20 340.047
4 22 22 1 246.682
4 23 22 12 284.083
4 24 22 23 201.351
5 3 14 16 279.377
5 4 14 26 286.92
5 5 15 7 330.997
5 6 15 18 240.356
5 7 15 31 285.026
5 8 16 11 230.384
5 9 16 25 355.075
5 10 17 7 279.022
5 11 17 21 276.188
5 12 18 4 268.493
5 13 18 16 297.839
5 14 18 28 255.205
5 15 19 8 237.577
5 16 19 20 289.854
5 17 19 31 381.73
5 18 20 14 262.939
5 19 20 27 245.105
5 20 21 9 258.053
5 21 21 21 304.32
5 22 22 2 442.495
5 23 22 13 313.931
5 24 22 24 361.75
5 25 23 1 375.613
6 3 14 17 300.335
6 4 14 27 231.405
6 5 15 8 277.295
6 6 15 19 222.59
6 7 16 0 249.714
6 8 16 12 243.679
6 9 16 26 225.961
6 10 17 8 257.819
6 11 17 22 220.396
6 12 18 5 259.018
6 13 18 17 276.657
6 14 18 29 223.541
6 15 19 9 275.929
6 16 19 21 268.23
6 17 20 1 277.546
6 18 20 15 253.845
6 19 20 28 336.986
6 20 21 10 276.955
6 21 21 22 250.381
6 22 22 3 298.778
6 23 22 14 244.77
6 24 22 25 271.877
6 25 23 2 259.745
7 2 14 8 264.144
7 3 14 18 302.369
7 4 14 28 286.09
7 5 15 9 236.891
7 6 15 20 267.734
7 7 16 1 272.812
7 8 16 13 286.733
7 9 16 27 224.127
7 10 17 9 278.906
7 11 17 23 335.891
7 12 18 6 275.112
7 13 18 18 272.557
7 14 18 30 288.064
7 15 19 10 250.214
7 16 19 22 262.295
7 17 20 2 310.729
7 18 20 16 246.794
7 19 20 29 308.323
7 20 21 11 317.819
7 21 21 23 298.198
7 22 22 4 380.781
7 23 22 15 262.421
7 24 22 26 283.916
7 25 23 3 252.785
7 26 23 11 254.715
8 2 14 9 221.848
8 3 14 19 279.5
8 4 14 29 272.783
8 5 15 10 284.662
8 6 15 21 244.478
8 7 16 2 227.576
8 8 16 14 304.013
8 9 16 28 237.89
8 10 17 10 275.074
8 11 17 24 259.81
8 12 18 7 266.166
8 13 18 19 267.605
