# TMM strip-by-strip overall calibration constants
# correction factor definition: q_cal = q_raw * correction
# correction = q_ref / q_i
# RunID view strip correction err_correction
677 X 0 0.790373 0.00396299
677 X 1 0.850573 0.00456345
677 X 2 0.843817 0.00445428
677 X 3 0.852573 0.00425238
677 X 4 0.88271 0.00436824
677 X 5 0.885323 0.00423779
677 X 6 0.893534 0.00464088
677 X 7 0.889127 0.00468099
677 X 8 1 0
677 X 9 1 0
677 X 10 0.925325 0.00469915
677 X 11 0.92529 0.00467271
677 X 12 0.950887 0.00425525
677 X 13 0.971275 0.00417724
677 X 14 0.989783 0.00418362
677 X 15 0.974723 0.00450533
677 X 16 1 0
677 X 17 1.03375 0.00465295
677 X 18 1.01162 0.00477011
677 X 19 1.04545 0.00418652
677 X 20 1 0
677 X 21 1.04807 0.00435915
677 X 22 1.03577 0.00407773
677 X 23 1.03528 0.00411394
677 X 24 1.02988 0.00359372
677 X 25 0.920354 0.141511
677 X 26 1.05658 0.00333722
677 X 27 1.0742 0.0042652
677 X 28 1.00656 0.00406156
677 X 29 0.84405 0.000769219
677 X 30 0.918069 0.00470079
677 X 31 0.766108 0.00968754
677 X 32 0.919608 0.00369456
677 X 33 0.633384 0.00277417
677 X 34 0.721074 0.0019738
677 X 35 0.700255 0.00243229
677 X 36 0.792511 0.00112162
677 X 37 0.733797 0.00167942
677 X 38 0.837987 0.000804168
677 X 39 0.815485 0.00153421
677 X 40 0.870271 0.000810508
677 X 41 0.822438 0.00111929
677 X 42 0.895648 0.000779447
677 X 43 0.876669 0.00105141
677 X 44 0.906568 0.000879907
677 X 45 0.728414 0.000939927
677 X 46 0.898826 0.00098895
677 X 47 4.98374 0.284502
677 X 48 0.961438 0.0010961
677 X 49 1.83355 0.0062293
677 X 50 0.813353 0.000914772
677 X 51 1.89943 0.00561264
677 X 52 0.736626 0.000671733
677 X 53 1.99955 0.00616298
677 X 54 0.693021 0.00058098
677 X 55 2.10385 0.00714837
677 X 56 0.713731 0.000576732
677 X 57 2.28092 0.00745484
677 X 58 0.706992 0.000525754
677 X 59 0.450246 0.00229532
677 X 60 0.673998 0.000478766
677 X 61 0.621823 0.000620865
677 X 62 0.660488 0.000436844
677 X 63 0.80581 0.000644874
677 X 64 0.838147 0.000658915
677 X 65 0.722127 0.000544955
677 X 66 0.784789 0.000605593
677 X 67 0.721921 0.000469006
677 X 68 0.777131 0.000565768
677 X 69 0.772955 0.000561957
677 X 70 0.786536 0.000518797
677 X 71 0.768458 0.000535547
677 X 72 0.784923 0.000507996
677 X 73 0.78093 0.000546661
677 X 74 0.796935 0.000488585
677 X 75 0.783142 0.000515089
677 X 76 0.802239 0.000469434
677 X 77 0.757525 0.000468322
677 X 78 0.816648 0.000477025
677 X 79 0.86047 0.000501472
677 X 80 0.88723 0.000505995
677 X 81 0.889275 0.000499971
677 X 82 0.830775 0.000435597
677 X 83 0.926684 0.000503909
677 X 84 0.849859 0.000460551
677 X 85 0.903396 0.000477658
677 X 86 0.883426 0.000461899
677 X 87 0.866895 0.000456498
677 X 88 0.926573 0.000487301
677 X 89 0.850504 0.000443689
677 X 90 0.938489 0.000485155
677 X 91 0.883877 0.000463082
677 X 92 0.916351 0.000466869
677 X 93 0.918899 0.000465152
677 X 94 0.936038 0.00046241
677 X 95 1.0118 0.000517547
677 X 96 0.95129 0.000485886
677 X 97 0.98562 0.000501853
677 X 98 0.990123 0.000505212
677 X 99 0.979785 0.000490596
677 X 100 1.00499 0.000500849
677 X 101 0.976617 0.000484618
677 X 102 0.989902 0.00048398
677 X 103 1.01735 0.000497138
677 X 104 0.962831 0.000465412
677 X 105 1.03522 0.000495167
677 X 106 0.984864 0.000466721
677 X 107 1.0169 0.000478719
677 X 108 1.02807 0.000483269
677 X 109 0.977644 0.00045727
677 X 110 1.05038 0.000490067
677 X 111 0.952617 0.00044224
677 X 112 0.995079 0.000456692
677 X 113 0.96185 0.000444708
677 X 114 0.952089 0.000434023
677 X 115 0.985072 0.000448951
677 X 116 0.933132 0.000431244
677 X 117 0.99119 0.000451257
677 X 118 0.965546 0.000444631
677 X 119 0.965381 0.000443262
677 X 120 1.01879 0.000473641
677 X 121 1.78019 0.000771523
677 X 122 0.964915 0.000412255
677 X 123 0.942622 0.000406942
677 X 124 0.962068 0.000405656
677 X 125 0.997474 0.000420904
677 X 126 0.947956 0.00039464
677 X 127 1.03956 0.000433474
677 X 128 0.991511 0.000418301
677 X 129 1.02049 0.000424881
677 X 130 1.03031 0.000433557
677 X 131 0.993766 0.000418777
677 X 132 1.06684 0.000446843
677 X 133 0.9988 0.000420932
677 X 134 1.06258 0.000440176
677 X 135 1.05066 0.000442031
677 X 136 1.08193 0.000452198
677 X 137 1.077 0.000446873
677 X 138 1.02699 0.000424445
677 X 139 1.05765 0.000433347
677 X 140 1.02501 0.000430076
677 X 141 1.046 0.000429469
677 X 142 1.0659 0.000440678
677 X 143 1.01678 0.000421089
677 X 144 1.08418 0.00044021
677 X 145 1.06131 0.000429153
677 X 146 1.06067 0.000429088
677 X 147 1.09176 0.000443384
677 X 148 1.00729 0.000426006
677 X 149 1.03714 0.000441176
677 X 150 1.00248 0.000439251
677 X 151 0.981038 0.000427374
677 X 152 1.02798 0.000444716
677 X 153 0.948046 0.000429218
677 X 154 1.07909 0.00047081
677 X 155 0.971631 0.000445519
677 X 156 0.990427 0.000443031
677 X 157 1.00527 0.000456303
677 X 158 0.984269 0.000457365
677 X 159 0.988611 0.000458977
677 X 160 1.06916 0.000466771
677 X 161 0.967163 0.000452818
677 X 162 1.34563 0.000523208
677 X 163 0.950267 0.00044933
677 X 164 1.45781 0.000555342
677 X 165 0.954959 0.000446637
677 X 166 1.55875 0.000580731
677 X 167 0.956032 0.000452404
677 X 168 1.43936 0.000537602
677 X 169 0.804514 0.000245803
677 X 170 37.5388 0.0622035
677 X 171 0.804003 0.000261924
677 X 172 1.23164 0.000479242
677 X 173 0.942142 0.000440238
677 X 174 1.37978 0.000521053
677 X 175 0.912491 0.00042531
677 X 176 1.28418 0.000501416
677 X 177 0.91288 0.000417
677 X 178 0.961363 0.000442518
677 X 179 0.953418 0.000450087
677 X 180 0.930933 0.000440044
677 X 181 0.986762 0.000448363
677 X 182 0.956146 0.000442642
677 X 183 0.945479 0.000435507
677 X 184 0.975539 0.00043444
677 X 185 0.972855 0.000438149
677 X 186 0.969094 0.000419126
677 X 187 0.973032 0.000430412
677 X 188 0.987971 0.000420109
677 X 189 1.00268 0.000428986
677 X 190 0.994985 0.000423255
677 X 191 0.986732 0.000415386
677 X 192 1.00856 0.000426659
677 X 193 0.994874 0.000415373
677 X 194 1.02837 0.000427152
677 X 195 0.991191 0.000416392
677 X 196 0.997377 0.000412194
677 X 197 1.00214 0.000420723
677 X 198 0.983083 0.000404627
677 X 199 1.00222 0.000420139
677 X 200 0.973237 0.000404346
677 X 201 1.01372 0.000418833
677 X 202 0.954201 0.000395483
677 X 203 0.997933 0.000402194
677 X 204 0.962738 0.000395688
677 X 205 0.998945 0.00039783
677 X 206 0.996577 0.000399991
677 X 207 0.988294 0.000391203
677 X 208 1.00586 0.000395059
677 X 209 1.06566 0.000418528
677 X 210 1.06983 0.000415592
677 X 211 1.01731 0.000395431
677 X 212 1.02125 0.000392867
677 X 213 1.02248 0.000387379
677 X 214 0.980313 0.000375123
677 X 215 1.01783 0.00038588
677 X 216 0.991683 0.000378782
677 X 217 0.980271 0.000370422
677 X 218 1.03556 0.000399732
677 X 219 0.983836 0.000377401
677 X 220 1.00178 0.000383089
677 X 221 0.951904 0.000363744
677 X 222 0.957665 0.000364969
677 X 223 0.998976 0.000379911
677 X 224 0.913237 0.000341434
677 X 225 0.999158 0.000378849
677 X 226 0.968741 0.000301072
677 X 227 0.926178 0.000361607
677 X 228 0.986103 0.00039844
677 X 229 0.881904 0.000365264
677 X 230 0.950875 0.0004047
677 X 231 0.897967 0.000379437
677 X 232 0.897012 0.000388462
677 X 233 0.938735 0.000410508
677 X 234 0.922453 0.000491948
677 X 235 1.1216 0.000420766
677 X 236 1.07488 0.000407308
677 X 237 1.06191 0.000400822
677 X 238 1.06705 0.000404355
677 X 239 1.06561 0.000402832
677 X 240 1.07425 0.000403618
677 X 241 1.05016 0.000397876
677 X 242 1.06183 0.000399136
677 X 243 1.03539 0.000392189
677 X 244 1.05284 0.00039679
677 X 245 1.03517 0.000393107
677 X 246 1.01853 0.000388734
677 X 247 1.03602 0.000395085
677 X 248 1.01828 0.000387003
677 X 249 1.00651 0.000382656
677 X 250 1.03943 0.000395708
677 X 251 0.926792 0.000345742
677 X 252 0.947502 0.000350812
677 X 253 0.934898 0.000347458
677 X 254 0.918711 0.000338262
677 X 255 0.957264 0.000352563
677 X 256 0.903945 0.000333009
677 X 257 0.951221 0.000349436
677 X 258 0.906818 0.000333573
677 X 259 0.924022 0.000337356
677 X 260 0.994944 0.0003654
677 X 261 0.9682 0.000352836
677 X 262 1.05022 0.00038029
677 X 263 0.912298 0.000339544
677 X 264 0.94118 0.000349301
677 X 265 0.972285 0.000367901
677 X 266 0.879819 0.000332832
677 X 267 0.962027 0.000364215
677 X 268 0.87479 0.000338123
677 X 269 0.937995 0.000362748
677 X 270 0.90707 0.000348706
677 X 271 0.911121 0.000352806
677 X 272 0.951053 0.00036666
677 X 273 0.949733 0.000380494
677 X 274 0.92253 0.000363602
677 X 275 1.00394 0.000407777
677 X 276 0.95949 0.000435632
677 X 277 1.35557 0.000684741
677 X 278 0.935602 0.00042496
677 X 279 1.19972 0.000765848
677 X 280 0.960652 0.000434575
677 X 281 0.866049 0.00296503
677 X 282 0.959927 0.000439943
677 X 283 3.56581 0.0120794
677 X 284 0.812226 0.000389796
677 X 285 4.18168 0.00830586
677 X 286 0.8197 0.000402485
677 X 287 0.81856 0.002002
677 X 288 0.977832 0.00045926
677 X 289 0.665554 0.00579942
