# TMM strip-by-strip overall calibration constants
# correction factor definition: q_cal = q_raw * correction
# correction = q_ref / q_i
# RunID view strip correction err_correction
677 X 0 0.569789 0.00285697
677 X 1 0.621786 0.00333597
677 X 2 0.625329 0.00330094
677 X 3 0.640335 0.0031938
677 X 4 0.671724 0.00332414
677 X 5 0.682424 0.00326657
677 X 6 0.69747 0.00362255
677 X 7 0.70262 0.00369908
677 X 8 1 0
677 X 9 1 0
677 X 10 0.757459 0.00384666
677 X 11 0.765955 0.00386807
677 X 12 0.795781 0.00356114
677 X 13 0.82153 0.00353322
677 X 14 0.845892 0.00357542
677 X 15 0.841446 0.0038893
677 X 16 1 0
677 X 17 0.909767 0.00409489
677 X 18 0.898526 0.00423682
677 X 19 0.936885 0.00375177
677 X 20 1 0
677 X 21 0.955308 0.00397333
677 X 22 0.951721 0.00374685
677 X 23 0.958682 0.00380956
677 X 24 0.96083 0.00335277
677 X 25 0.864832 0.132974
677 X 26 0.999699 0.00315756
677 X 27 1.0231 0.00406229
677 X 28 0.964742 0.00389282
677 X 29 0.813864 0.000741709
677 X 30 0.890321 0.00455871
677 X 31 0.747006 0.00944601
677 X 32 0.901314 0.00362106
677 X 33 0.623815 0.00273227
677 X 34 0.713448 0.00195292
677 X 35 0.695842 0.00241696
677 X 36 0.790698 0.00111905
677 X 37 0.734875 0.00168189
677 X 38 0.842151 0.000808163
677 X 39 0.822181 0.00154681
677 X 40 0.880016 0.000819583
677 X 41 0.833896 0.00113489
677 X 42 0.91035 0.000792241
677 X 43 0.893021 0.00107103
677 X 44 0.925286 0.000898075
677 X 45 0.744734 0.000960986
677 X 46 0.920336 0.00101262
677 X 47 5.10949 0.291681
677 X 48 0.986737 0.00112494
677 X 49 1.8834 0.00639864
677 X 50 0.836006 0.00094025
677 X 51 1.95323 0.00577161
677 X 52 0.757702 0.000690953
677 X 53 2.05698 0.00634
677 X 54 0.712887 0.000597635
677 X 55 2.16371 0.00735178
677 X 56 0.733785 0.000592936
677 X 57 2.34389 0.00766063
677 X 58 0.726072 0.000539943
677 X 59 0.462068 0.00235559
677 X 60 0.691133 0.000490938
677 X 61 0.637057 0.000636076
677 X 62 0.676007 0.000447108
677 X 63 0.823877 0.000659333
677 X 64 0.855989 0.000672942
677 X 65 0.736646 0.000555911
677 X 66 0.799609 0.00061703
677 X 67 0.734651 0.000477276
677 X 68 0.789847 0.000575026
677 X 69 0.784612 0.000570432
677 X 70 0.797387 0.000525955
677 X 71 0.778076 0.00054225
677 X 72 0.793751 0.000513709
677 X 73 0.788737 0.000552126
677 X 74 0.803926 0.000492871
677 X 75 0.789075 0.000518992
677 X 76 0.807386 0.000472446
677 X 77 0.761536 0.000470802
677 X 78 0.820092 0.000479037
677 X 79 0.863211 0.00050307
677 X 80 0.889186 0.00050711
677 X 81 0.890407 0.000500608
677 X 82 0.831104 0.00043577
677 X 83 0.926288 0.000503694
677 X 84 0.848843 0.000460001
677 X 85 0.901673 0.000476747
677 X 86 0.881161 0.000460714
677 X 87 0.864151 0.000455053
677 X 88 0.923133 0.000485492
677 X 89 0.846927 0.000441823
677 X 90 0.934128 0.000482901
677 X 91 0.879426 0.00046075
677 X 92 0.911425 0.000464359
677 X 93 0.913691 0.000462516
677 X 94 0.930502 0.000459675
677 X 95 1.00561 0.000514381
677 X 96 0.945318 0.000482836
677 X 97 0.979313 0.000498641
677 X 98 0.983704 0.000501937
677 X 99 0.973385 0.000487391
677 X 100 0.998412 0.00049757
677 X 101 0.970237 0.000481452
677 X 102 0.983476 0.000480839
677 X 103 1.01082 0.000493946
677 X 104 0.956738 0.000462466
677 X 105 1.02879 0.00049209
677 X 106 0.978877 0.000463884
677 X 107 1.01087 0.000475883
677 X 108 1.02215 0.000480487
677 X 109 0.972195 0.000454721
677 X 110 1.04473 0.000487432
677 X 111 0.94769 0.000439952
677 X 112 0.990147 0.000454429
677 X 113 0.957297 0.000442603
677 X 114 0.947801 0.000432068
677 X 115 0.980867 0.000447034
677 X 116 0.929372 0.000429506
677 X 117 0.987434 0.000449547
677 X 118 0.962122 0.000443054
677 X 119 0.962192 0.000441797
677 X 120 1.01567 0.000472192
677 X 121 1.77517 0.000769349
677 X 122 0.962428 0.000411193
677 X 123 0.940417 0.00040599
677 X 124 0.960043 0.000404802
677 X 125 0.995605 0.000420115
677 X 126 0.946395 0.00039399
677 X 127 1.03808 0.000432856
677 X 128 0.990314 0.000417796
677 X 129 1.01947 0.000424459
677 X 130 1.0295 0.000433215
677 X 131 0.993182 0.000418531
677 X 132 1.06642 0.000446667
677 X 133 0.998596 0.000420846
677 X 134 1.06255 0.000440167
677 X 135 1.05082 0.000442099
677 X 136 1.08228 0.000452345
677 X 137 1.07752 0.000447091
677 X 138 1.02766 0.000424719
677 X 139 1.05849 0.000433691
677 X 140 1.02597 0.00043048
677 X 141 1.04713 0.000429931
677 X 142 1.06719 0.00044121
677 X 143 1.01814 0.000421651
677 X 144 1.08576 0.000440851
677 X 145 1.06298 0.000429826
677 X 146 1.06245 0.000429808
677 X 147 1.09371 0.000444174
677 X 148 1.00918 0.000426806
677 X 149 1.03918 0.000442045
677 X 150 1.00455 0.000440155
677 X 151 0.983137 0.000428288
677 X 152 1.03025 0.000445702
677 X 153 0.950217 0.000430201
677 X 154 1.08163 0.00047192
677 X 155 0.973984 0.000446598
677 X 156 0.992886 0.000444131
677 X 157 1.00782 0.000457461
677 X 158 0.986819 0.000458549
677 X 159 0.99122 0.000460189
677 X 160 1.07203 0.000468023
677 X 161 0.969798 0.000454052
677 X 162 1.34934 0.000524654
677 X 163 0.952926 0.000450586
677 X 164 1.46194 0.000556913
677 X 165 0.957691 0.000447915
677 X 166 1.56325 0.000582408
677 X 167 0.958813 0.00045372
677 X 168 1.44357 0.000539176
677 X 169 0.806883 0.000246527
677 X 170 37.6499 0.0623875
677 X 171 0.80639 0.000262702
677 X 172 1.2353 0.000480669
677 X 173 0.944952 0.000441551
677 X 174 1.3839 0.000522608
677 X 175 0.915216 0.00042658
677 X 176 1.28801 0.000502912
677 X 177 0.915599 0.000418242
677 X 178 0.964218 0.000443832
677 X 179 0.956239 0.000451419
677 X 180 0.93367 0.000441337
677 X 181 0.989645 0.000449673
677 X 182 0.958921 0.000443926
677 X 183 0.948201 0.000436761
677 X 184 0.97832 0.000435679
677 X 185 0.975599 0.000439385
677 X 186 0.971794 0.000420294
677 X 187 0.975706 0.000431595
677 X 188 0.990645 0.000421246
677 X 189 1.00535 0.000430127
677 X 190 0.997582 0.00042436
677 X 191 0.989254 0.000416448
677 X 192 1.01108 0.000427725
677 X 193 0.997296 0.000416384
677 X 194 1.0308 0.000428163
677 X 195 0.993464 0.000417347
677 X 196 0.999587 0.000413107
677 X 197 1.00427 0.000421619
677 X 198 0.985092 0.000405454
677 X 199 1.00417 0.000420958
677 X 200 0.975037 0.000405093
677 X 201 1.01549 0.000419563
677 X 202 0.955758 0.000396129
677 X 203 0.999444 0.000402803
677 X 204 0.964076 0.000396238
677 X 205 1.0002 0.000398331
677 X 206 0.997696 0.000400441
677 X 207 0.989263 0.000391586
677 X 208 1.00669 0.000395387
677 X 209 1.06638 0.00041881
677 X 210 1.07038 0.000415805
677 X 211 1.01766 0.000395567
677 X 212 1.02142 0.000392933
677 X 213 1.02246 0.000387374
677 X 214 0.980116 0.000375047
