t0_0	-0.113056
t0_1	-0.0920266
t0_2	-0.0943419
t0_3	-0.0485674
t0_4	-0.042707
t0_5	-0.0466689
t0_6	-0.0240008
t0_7	-0.0288389
t0_8	0.0738304
t0_9	0.0794889
t0_10	0.150917
t0_11	0.242287
t0_12	0.236924
t0_13	0.453699
t0_14	0.461315
t0_15	0.801402
t0_16	-0.140551
t0_17	-0.151854
t0_18	-0.146051
t0_19	-0.105024
t0_20	-0.134062
t0_21	-0.14023
t0_22	-0.0975355
t0_23	-0.0883144
t0_24	-0.0460243
t0_25	-0.00996951
t0_26	0.0547401
t0_27	0.131758
t0_28	0.245594
t0_29	0.333017
t0_30	0.600476
t0_31	0.744145
