Hit time difference
t0_0	1.13941
t0_1	1.26839
t0_2	-0.400236
t0_3	-0.139242
t0_4	-0.263445
t0_5	0.434362
t0_6	0.375893
t0_7	0.737278
t0_8	0.0546542
t0_9	0.277577
t0_10	0.152614
t0_11	0.243972
t0_12	0.136629
t0_13	0.190709
t0_14	0.0482298
t0_15	0.0458741
t0_16	0.0542166
t0_17	0.0859452
t0_18	-0.00781206
t0_19	-0.00258287
t0_20	0.0118708
t0_21	0.00687563
t0_22	0.0102228
t0_23	-0.00883462
t0_24	-0.0257715
t0_25	-0.0550006
t0_26	-0.0382287
t0_27	-0.0287417
t0_28	-0.0732271
t0_29	-0.00355389
t0_30	-0.0609
t0_31	-0.0625505
t0_32	-0.0267892
t0_33	0.00883179
t0_34	-0.00255735
t0_35	-0.0163327
t0_36	-0.0444786
t0_37	-0.0802519
t0_38	-0.0985975
t0_39	-0.052777
t0_40	-0.0722707
t0_41	-0.105771
t0_42	-0.0615501
t0_43	-0.0866332
t0_44	-0.113267
t0_45	-0.112312
t0_46	-0.0828535
t0_47	-0.0881453
t0_48	-0.0219518
t0_49	-0.0684942
t0_50	-0.0595749
t0_51	-0.0535815
t0_52	-0.0672796
t0_53	-0.0374441
t0_54	-0.0512168
t0_55	-0.0533393
t0_56	-0.0517217
t0_57	-0.00609293
t0_58	-0.0122317
t0_59	-0.0332942
t0_60	-0.056324
t0_61	-0.0480221
t0_62	-0.0634758
t0_63	-0.0875826
t0_64	0.0916941
t0_65	-0.00872207
t0_66	-0.022306
t0_67	0.100761
t0_68	0.127004
t0_69	0.217379
t0_70	0.372659
t0_71	0.646375
t0_72	0.608887
t0_73	0.621823
t0_74	0.760776
t0_75	0.778202
t0_76	1.16216
t0_77	1.97769
t0_78	1.94714
t0_79	1.76867
t0_80	2.01332
t0_81	2.08489
t0_82	2.29755
t0_83	2.28969
t0_84	2.50423
t0_85	2.40645
t0_86	2.61635
t0_87	2.47053
t0_88	2.24385
t0_89	1.47997
